label,train,val,clean_text,cluster,cluster_name
mosh pit dancing,2,1.0,mosh pit dancing,6,"Cluster 6 - dancing, ballet, line"
mopping floor,7,2.0,mopping floor,1,"Cluster 1 - eating, putting, riding"
moon walking,7,,moon walking,1,"Cluster 1 - eating, putting, riding"
mixing colours,415,2.0,mixing colour,1,"Cluster 1 - eating, putting, riding"
milking goat,501,1.0,milking goat,1,"Cluster 1 - eating, putting, riding"
milking cow,997,1.0,milking cow,1,"Cluster 1 - eating, putting, riding"
metal detecting,11,1.0,metal detecting,1,"Cluster 1 - eating, putting, riding"
massaging person's head,822,50.0,massaging person head,1,"Cluster 1 - eating, putting, riding"
massaging neck,52,5.0,massaging neck,1,"Cluster 1 - eating, putting, riding"
massaging legs,53,2.0,massaging leg,1,"Cluster 1 - eating, putting, riding"
massaging feet,47,4.0,massaging foot,1,"Cluster 1 - eating, putting, riding"
massaging back,42,4.0,massaging back,1,"Cluster 1 - eating, putting, riding"
marriage proposal,18,2.0,marriage proposal,1,"Cluster 1 - eating, putting, riding"
marching,6,,marching,1,"Cluster 1 - eating, putting, riding"
making the bed,23,3.0,making bed,0,"Cluster 0 - making, art, bubble"
making tea,16,,making tea,0,"Cluster 0 - making, art, bubble"
making sushi,13,2.0,making sushi,0,"Cluster 0 - making, art, bubble"
making snowman,12,3.0,making snowman,0,"Cluster 0 - making, art, bubble"
making slime,74,5.0,making slime,0,"Cluster 0 - making, art, bubble"
making pizza,25,2.0,making pizza,0,"Cluster 0 - making, art, bubble"
making paper aeroplanes,41,2.0,making paper aeroplane,0,"Cluster 0 - making, art, bubble"
making latte art,18,,making latte art,0,"Cluster 0 - making, art, bubble"
making jewelry,14,,making jewelry,0,"Cluster 0 - making, art, bubble"
making horseshoes,15,1.0,making horseshoe,0,"Cluster 0 - making, art, bubble"
making cheese,11,1.0,making cheese,0,"Cluster 0 - making, art, bubble"
making bubbles,17,3.0,making bubble,0,"Cluster 0 - making, art, bubble"
making balloon shapes,20,2.0,making balloon shape,0,"Cluster 0 - making, art, bubble"
making a sandwich,22,4.0,making sandwich,0,"Cluster 0 - making, art, bubble"
making a cake,24,3.0,making cake,0,"Cluster 0 - making, art, bubble"
lunge,14,,lunge,1,"Cluster 1 - eating, putting, riding"
luge,7,,luge,1,"Cluster 1 - eating, putting, riding"
looking in mirror,15,1.0,looking mirror,1,"Cluster 1 - eating, putting, riding"
looking at phone,22,2.0,looking phone,1,"Cluster 1 - eating, putting, riding"
longboarding,17,,longboarding,1,"Cluster 1 - eating, putting, riding"
long jump,2,2.0,long jump,1,"Cluster 1 - eating, putting, riding"
lock picking,18,,lock picking,1,"Cluster 1 - eating, putting, riding"
listening with headphones,36,4.0,listening headphone,1,"Cluster 1 - eating, putting, riding"
lighting fire,22,1.0,lighting fire,1,"Cluster 1 - eating, putting, riding"
lighting candle,15,2.0,lighting candle,1,"Cluster 1 - eating, putting, riding"
lifting hat,19,,lifting hat,1,"Cluster 1 - eating, putting, riding"
licking,22,1.0,licking,1,"Cluster 1 - eating, putting, riding"
letting go of balloon,19,1.0,letting balloon,1,"Cluster 1 - eating, putting, riding"
leatherworking,11,3.0,leatherworking,1,"Cluster 1 - eating, putting, riding"
laying tiles,11,,laying tile,1,"Cluster 1 - eating, putting, riding"
laying stone,10,,laying stone,1,"Cluster 1 - eating, putting, riding"
laying decking,13,1.0,laying decking,1,"Cluster 1 - eating, putting, riding"
laying concrete,15,1.0,laying concrete,1,"Cluster 1 - eating, putting, riding"
laying bricks,12,,laying brick,1,"Cluster 1 - eating, putting, riding"
lawn mower racing,14,1.0,lawn mower racing,1,"Cluster 1 - eating, putting, riding"
laughing,28,,laughing,1,"Cluster 1 - eating, putting, riding"
land sailing,6,,land sailing,1,"Cluster 1 - eating, putting, riding"
krumping,1,,krumping,1,"Cluster 1 - eating, putting, riding"
knitting,7,2.0,knitting,1,"Cluster 1 - eating, putting, riding"
kitesurfing,24,1.0,kitesurfing,1,"Cluster 1 - eating, putting, riding"
kissing,48,1.0,kissing,1,"Cluster 1 - eating, putting, riding"
kicking soccer ball,21,,kicking soccer ball,1,"Cluster 1 - eating, putting, riding"
kicking field goal,12,1.0,kicking field goal,1,"Cluster 1 - eating, putting, riding"
karaoke,11,2.0,karaoke,1,"Cluster 1 - eating, putting, riding"
jumping sofa,21,2.0,jumping sofa,5,"Cluster 5 - jumping, ski, pool"
jumping jacks,21,,jumping jack,5,"Cluster 5 - jumping, ski, pool"
jumping into pool,12,,jumping pool,5,"Cluster 5 - jumping, ski, pool"
jumping bicycle,16,,jumping bicycle,5,"Cluster 5 - jumping, ski, pool"
juggling soccer ball,31,2.0,juggling soccer ball,1,"Cluster 1 - eating, putting, riding"
juggling fire,13,1.0,juggling fire,1,"Cluster 1 - eating, putting, riding"
juggling balls,15,1.0,juggling ball,1,"Cluster 1 - eating, putting, riding"
jogging,10,,jogging,1,"Cluster 1 - eating, putting, riding"
jetskiing,8,1.0,jetskiing,1,"Cluster 1 - eating, putting, riding"
jaywalking,16,,jaywalking,1,"Cluster 1 - eating, putting, riding"
javelin throw,7,1.0,javelin throw,1,"Cluster 1 - eating, putting, riding"
ironing hair,27,,ironing hair,1,"Cluster 1 - eating, putting, riding"
ironing,18,,ironing,1,"Cluster 1 - eating, putting, riding"
installing carpet,14,,installing carpet,1,"Cluster 1 - eating, putting, riding"
inflating balloons,39,1.0,inflating balloon,1,"Cluster 1 - eating, putting, riding"
ice swimming,6,4.0,ice swimming,1,"Cluster 1 - eating, putting, riding"
ice skating,24,4.0,ice skating,1,"Cluster 1 - eating, putting, riding"
ice fishing,25,,ice fishing,1,"Cluster 1 - eating, putting, riding"
ice climbing,15,2.0,ice climbing,1,"Cluster 1 - eating, putting, riding"
hurling (sport),9,,hurling sport,1,"Cluster 1 - eating, putting, riding"
hurdling,7,1.0,hurdling,1,"Cluster 1 - eating, putting, riding"
hula hooping,16,1.0,hula hooping,1,"Cluster 1 - eating, putting, riding"
hugging baby,14,1.0,hugging baby,1,"Cluster 1 - eating, putting, riding"
hugging (not baby),37,2.0,hugging baby,1,"Cluster 1 - eating, putting, riding"
huddling,15,,huddling,1,"Cluster 1 - eating, putting, riding"
hoverboarding,54,3.0,hoverboarding,1,"Cluster 1 - eating, putting, riding"
hopscotch,15,,hopscotch,1,"Cluster 1 - eating, putting, riding"
home roasting coffee,9,1.0,home roasting coffee,1,"Cluster 1 - eating, putting, riding"
holding snake,20,1.0,holding snake,1,"Cluster 1 - eating, putting, riding"
hockey stop,17,,hockey stop,1,"Cluster 1 - eating, putting, riding"
hitting baseball,18,,hitting baseball,1,"Cluster 1 - eating, putting, riding"
historical reenactment,14,1.0,historical reenactment,1,"Cluster 1 - eating, putting, riding"
high kick,11,1.0,high kick,1,"Cluster 1 - eating, putting, riding"
high jump,12,,high jump,1,"Cluster 1 - eating, putting, riding"
high fiving,11,,high fiving,1,"Cluster 1 - eating, putting, riding"
herding cattle,4,1.0,herding cattle,1,"Cluster 1 - eating, putting, riding"
helmet diving,12,,helmet diving,1,"Cluster 1 - eating, putting, riding"
headbutting,15,,headbutting,1,"Cluster 1 - eating, putting, riding"
headbanging,4,1.0,headbanging,1,"Cluster 1 - eating, putting, riding"
head stand,14,,head stand,1,"Cluster 1 - eating, putting, riding"
hand washing clothes,24,4.0,hand washing clothes,1,"Cluster 1 - eating, putting, riding"
hammer throw,2,,hammer throw,1,"Cluster 1 - eating, putting, riding"
gymnastics tumbling,10,1.0,gymnastics tumbling,1,"Cluster 1 - eating, putting, riding"
grooming horse,28,3.0,grooming horse,1,"Cluster 1 - eating, putting, riding"
grooming dog,15,1.0,grooming dog,1,"Cluster 1 - eating, putting, riding"
grooming cat,9,1.0,grooming cat,1,"Cluster 1 - eating, putting, riding"
grinding meat,19,2.0,grinding meat,1,"Cluster 1 - eating, putting, riding"
gospel singing in church,13,,gospel singing church,1,"Cluster 1 - eating, putting, riding"
golf putting,3,,golf putting,1,"Cluster 1 - eating, putting, riding"
golf driving,11,1.0,golf driving,1,"Cluster 1 - eating, putting, riding"
golf chipping,5,,golf chipping,1,"Cluster 1 - eating, putting, riding"
gold panning,12,1.0,gold panning,1,"Cluster 1 - eating, putting, riding"
giving or receiving award,14,,giving receiving award,1,"Cluster 1 - eating, putting, riding"
getting a tattoo,15,,getting tattoo,1,"Cluster 1 - eating, putting, riding"
getting a piercing,18,1.0,getting piercing,1,"Cluster 1 - eating, putting, riding"
getting a haircut,16,2.0,getting haircut,1,"Cluster 1 - eating, putting, riding"
geocaching,13,1.0,geocaching,1,"Cluster 1 - eating, putting, riding"
gargling,17,1.0,gargling,1,"Cluster 1 - eating, putting, riding"
frying vegetables,14,2.0,frying vegetable,1,"Cluster 1 - eating, putting, riding"
front raises,8,,front raise,1,"Cluster 1 - eating, putting, riding"
folding paper,32,1.0,folding paper,1,"Cluster 1 - eating, putting, riding"
folding napkins,15,1.0,folding napkin,1,"Cluster 1 - eating, putting, riding"
folding clothes,10,2.0,folding clothes,1,"Cluster 1 - eating, putting, riding"
flying kite,11,2.0,flying kite,1,"Cluster 1 - eating, putting, riding"
fly tying,14,1.0,fly tying,1,"Cluster 1 - eating, putting, riding"
flipping pancake,28,,flipping pancake,1,"Cluster 1 - eating, putting, riding"
flipping bottle,78,2.0,flipping bottle,1,"Cluster 1 - eating, putting, riding"
flint knapping,11,,flint knapping,1,"Cluster 1 - eating, putting, riding"
fixing hair,25,1.0,fixing hair,1,"Cluster 1 - eating, putting, riding"
fixing bicycle,11,1.0,fixing bicycle,1,"Cluster 1 - eating, putting, riding"
finger snapping,9,2.0,finger snapping,1,"Cluster 1 - eating, putting, riding"
filling eyebrows,18,2.0,filling eyebrow,1,"Cluster 1 - eating, putting, riding"
filling cake,17,4.0,filling cake,1,"Cluster 1 - eating, putting, riding"
fidgeting,65,4.0,fidgeting,1,"Cluster 1 - eating, putting, riding"
fencing (sport),7,,fencing sport,1,"Cluster 1 - eating, putting, riding"
feeding goats,19,2.0,feeding goat,1,"Cluster 1 - eating, putting, riding"
feeding fish,12,,feeding fish,1,"Cluster 1 - eating, putting, riding"
feeding birds,18,,feeding bird,1,"Cluster 1 - eating, putting, riding"
falling off chair,25,,falling chair,1,"Cluster 1 - eating, putting, riding"
falling off bike,21,1.0,falling bike,1,"Cluster 1 - eating, putting, riding"
faceplanting,14,2.0,faceplanting,1,"Cluster 1 - eating, putting, riding"
extinguishing fire,16,2.0,extinguishing fire,1,"Cluster 1 - eating, putting, riding"
exercising with an exercise ball,29,2.0,exercising exercise ball,1,"Cluster 1 - eating, putting, riding"
exercising arm,6,2.0,exercising arm,1,"Cluster 1 - eating, putting, riding"
entering church,10,,entering church,1,"Cluster 1 - eating, putting, riding"
embroidering,12,,embroidering,1,"Cluster 1 - eating, putting, riding"
egg hunting,18,1.0,egg hunting,1,"Cluster 1 - eating, putting, riding"
eating watermelon,19,,eating watermelon,1,"Cluster 1 - eating, putting, riding"
eating spaghetti,19,1.0,eating spaghetti,1,"Cluster 1 - eating, putting, riding"
eating nachos,28,3.0,eating nacho,1,"Cluster 1 - eating, putting, riding"
eating ice cream,22,,eating ice cream,1,"Cluster 1 - eating, putting, riding"
eating hotdog,22,1.0,eating hotdog,1,"Cluster 1 - eating, putting, riding"
eating doughnuts,23,1.0,eating doughnut,1,"Cluster 1 - eating, putting, riding"
eating chips,27,2.0,eating chip,1,"Cluster 1 - eating, putting, riding"
eating carrots,11,,eating carrot,1,"Cluster 1 - eating, putting, riding"
eating cake,21,1.0,eating cake,1,"Cluster 1 - eating, putting, riding"
eating burger,21,,eating burger,1,"Cluster 1 - eating, putting, riding"
dyeing hair,64,7.0,dyeing hair,1,"Cluster 1 - eating, putting, riding"
dyeing eyebrows,28,2.0,dyeing eyebrow,1,"Cluster 1 - eating, putting, riding"
dunking basketball,11,,dunking basketball,1,"Cluster 1 - eating, putting, riding"
dumpster diving,15,1.0,dumpster diving,1,"Cluster 1 - eating, putting, riding"
drumming fingers,8,,drumming finger,1,"Cluster 1 - eating, putting, riding"
drop kicking,7,1.0,drop kicking,1,"Cluster 1 - eating, putting, riding"
drooling,13,,drooling,1,"Cluster 1 - eating, putting, riding"
driving tractor,16,2.0,driving tractor,1,"Cluster 1 - eating, putting, riding"
driving car,25,,driving car,1,"Cluster 1 - eating, putting, riding"
drinking shots,17,1.0,drinking shot,1,"Cluster 1 - eating, putting, riding"
dribbling basketball,4,2.0,dribbling basketball,1,"Cluster 1 - eating, putting, riding"
drawing,16,1.0,drawing,1,"Cluster 1 - eating, putting, riding"
doing sudoku,7,4.0,sudoku,1,"Cluster 1 - eating, putting, riding"
doing nails,24,2.0,nail,1,"Cluster 1 - eating, putting, riding"
doing laundry,6,,laundry,1,"Cluster 1 - eating, putting, riding"
doing jigsaw puzzle,42,1.0,jigsaw puzzle,1,"Cluster 1 - eating, putting, riding"
doing aerobics,32,1.0,aerobics,1,"Cluster 1 - eating, putting, riding"
dodgeball,20,,dodgeball,1,"Cluster 1 - eating, putting, riding"
docking boat,8,1.0,docking boat,1,"Cluster 1 - eating, putting, riding"
diving cliff,13,,diving cliff,1,"Cluster 1 - eating, putting, riding"
disc golfing,13,2.0,disc golfing,1,"Cluster 1 - eating, putting, riding"
directing traffic,8,1.0,directing traffic,1,"Cluster 1 - eating, putting, riding"
dining,10,1.0,dining,1,"Cluster 1 - eating, putting, riding"
digging,10,1.0,digging,1,"Cluster 1 - eating, putting, riding"
delivering mail,6,2.0,delivering mail,1,"Cluster 1 - eating, putting, riding"
decoupage,16,1.0,decoupage,1,"Cluster 1 - eating, putting, riding"
decorating the christmas tree,14,1.0,decorating christmas tree,1,"Cluster 1 - eating, putting, riding"
dealing cards,13,2.0,dealing card,1,"Cluster 1 - eating, putting, riding"
deadlifting,10,,deadlifting,1,"Cluster 1 - eating, putting, riding"
dancing macarena,4,,dancing macarena,6,"Cluster 6 - dancing, ballet, line"
dancing gangnam style,6,2.0,dancing gangnam style,6,"Cluster 6 - dancing, ballet, line"
dancing charleston,1,,dancing charleston,6,"Cluster 6 - dancing, ballet, line"
dancing ballet,3,,dancing ballet,6,"Cluster 6 - dancing, ballet, line"
cutting watermelon,30,,cutting watermelon,1,"Cluster 1 - eating, putting, riding"
cutting pineapple,39,3.0,cutting pineapple,1,"Cluster 1 - eating, putting, riding"
cutting orange,13,4.0,cutting orange,1,"Cluster 1 - eating, putting, riding"
cutting nails,12,,cutting nail,1,"Cluster 1 - eating, putting, riding"
cutting cake,8,1.0,cutting cake,1,"Cluster 1 - eating, putting, riding"
cutting apple,25,1.0,cutting apple,1,"Cluster 1 - eating, putting, riding"
curling hair,41,2.0,curling hair,1,"Cluster 1 - eating, putting, riding"
curling eyelashes,10,1.0,curling eyelash,1,"Cluster 1 - eating, putting, riding"
curling (sport),17,1.0,curling sport,1,"Cluster 1 - eating, putting, riding"
cumbia,2,1.0,cumbia,1,"Cluster 1 - eating, putting, riding"
crying,15,,cry,1,"Cluster 1 - eating, putting, riding"
crossing river,22,2.0,crossing river,1,"Cluster 1 - eating, putting, riding"
crossing eyes,21,1.0,crossing eye,1,"Cluster 1 - eating, putting, riding"
crocheting,17,2.0,crocheting,1,"Cluster 1 - eating, putting, riding"
crawling baby,9,,crawling baby,1,"Cluster 1 - eating, putting, riding"
cracking neck,10,1.0,cracking neck,1,"Cluster 1 - eating, putting, riding"
cracking knuckles,36,2.0,cracking knuckle,1,"Cluster 1 - eating, putting, riding"
cracking back,20,1.0,cracking back,1,"Cluster 1 - eating, putting, riding"
country line dancing,7,,country line dancing,6,"Cluster 6 - dancing, ballet, line"
counting money,52,7.0,counting money,1,"Cluster 1 - eating, putting, riding"
coughing,29,2.0,coughing,1,"Cluster 1 - eating, putting, riding"
cosplaying,26,1.0,cosplaying,1,"Cluster 1 - eating, putting, riding"
cooking scallops,12,1.0,cooking scallop,4,"Cluster 4 - cooking, sausage, egg"
cooking sausages (not on barbeque),23,,cooking sausage barbeque,4,"Cluster 4 - cooking, sausage, egg"
cooking on campfire,21,,cooking campfire,4,"Cluster 4 - cooking, sausage, egg"
cooking egg,30,1.0,cooking egg,4,"Cluster 4 - cooking, sausage, egg"
cooking chicken,14,,cooking chicken,4,"Cluster 4 - cooking, sausage, egg"
contorting,5,,contorting,1,"Cluster 1 - eating, putting, riding"
contact juggling,17,,contact juggling,1,"Cluster 1 - eating, putting, riding"
combing hair,12,,combing hair,1,"Cluster 1 - eating, putting, riding"
coloring in,152,10.0,coloring,1,"Cluster 1 - eating, putting, riding"
closing door,18,1.0,closing door,1,"Cluster 1 - eating, putting, riding"
climbing tree,34,1.0,climbing tree,1,"Cluster 1 - eating, putting, riding"
climbing ladder,3,1.0,climbing ladder,1,"Cluster 1 - eating, putting, riding"
climbing a rope,9,,climbing rope,1,"Cluster 1 - eating, putting, riding"
cleaning windows,7,,cleaning window,1,"Cluster 1 - eating, putting, riding"
cleaning toilet,6,1.0,cleaning toilet,1,"Cluster 1 - eating, putting, riding"
cleaning shoes,26,3.0,cleaning shoe,1,"Cluster 1 - eating, putting, riding"
cleaning pool,4,,cleaning pool,1,"Cluster 1 - eating, putting, riding"
cleaning gutters,5,,cleaning gutter,1,"Cluster 1 - eating, putting, riding"
clean and jerk,6,2.0,clean jerk,1,"Cluster 1 - eating, putting, riding"
clay pottery making,5,2.0,clay pottery making,0,"Cluster 0 - making, art, bubble"
clapping,5,1.0,clapping,1,"Cluster 1 - eating, putting, riding"
clam digging,8,1.0,clam digging,1,"Cluster 1 - eating, putting, riding"
chopping wood,14,,chopping wood,2,"Cluster 2 - wood, sanding, chiseling"
chopping meat,21,2.0,chopping meat,1,"Cluster 1 - eating, putting, riding"
chiseling wood,12,1.0,chiseling wood,2,"Cluster 2 - wood, sanding, chiseling"
chiseling stone,5,2.0,chiseling stone,1,"Cluster 1 - eating, putting, riding"
chewing gum,28,2.0,chewing gum,1,"Cluster 1 - eating, putting, riding"
cheerleading,2,,cheerleading,1,"Cluster 1 - eating, putting, riding"
checking watch,25,2.0,checking watch,1,"Cluster 1 - eating, putting, riding"
checking tires,5,,checking tire,1,"Cluster 1 - eating, putting, riding"
chasing,7,,chasing,1,"Cluster 1 - eating, putting, riding"
changing wheel (not on bike),14,,changing wheel bike,1,"Cluster 1 - eating, putting, riding"
changing oil,9,,changing oil,1,"Cluster 1 - eating, putting, riding"
changing gear in car,17,2.0,changing gear car,1,"Cluster 1 - eating, putting, riding"
celebrating,11,1.0,celebrating,1,"Cluster 1 - eating, putting, riding"
catching or throwing softball,35,2.0,catching throwing softball,1,"Cluster 1 - eating, putting, riding"
catching or throwing frisbee,2,2.0,catching throwing frisbee,1,"Cluster 1 - eating, putting, riding"
catching or throwing baseball,27,1.0,catching throwing baseball,1,"Cluster 1 - eating, putting, riding"
catching fish,20,3.0,catching fish,1,"Cluster 1 - eating, putting, riding"
casting fishing line,13,,casting fishing line,1,"Cluster 1 - eating, putting, riding"
carving wood with a knife,7,2.0,carving wood knife,2,"Cluster 2 - wood, sanding, chiseling"
carving pumpkin,17,4.0,carving pumpkin,1,"Cluster 1 - eating, putting, riding"
carving marble,8,4.0,carving marble,1,"Cluster 1 - eating, putting, riding"
carving ice,4,2.0,carving ice,1,"Cluster 1 - eating, putting, riding"
cartwheeling,8,,cartwheeling,1,"Cluster 1 - eating, putting, riding"
carrying weight,20,3.0,carrying weight,1,"Cluster 1 - eating, putting, riding"
carrying baby,13,1.0,carrying baby,1,"Cluster 1 - eating, putting, riding"
card throwing,32,7.0,card throwing,1,"Cluster 1 - eating, putting, riding"
card stacking,14,3.0,card stacking,1,"Cluster 1 - eating, putting, riding"
capsizing,15,2.0,capsizing,1,"Cluster 1 - eating, putting, riding"
capoeira,5,,capoeira,1,"Cluster 1 - eating, putting, riding"
canoeing or kayaking,14,3.0,canoeing kayaking,1,"Cluster 1 - eating, putting, riding"
calligraphy,25,2.0,calligraphy,1,"Cluster 1 - eating, putting, riding"
calculating,13,,calculating,1,"Cluster 1 - eating, putting, riding"
busking,21,3.0,busking,1,"Cluster 1 - eating, putting, riding"
burping,19,3.0,burping,1,"Cluster 1 - eating, putting, riding"
bungee jumping,12,1.0,bungee jumping,5,"Cluster 5 - jumping, ski, pool"
bulldozing,21,2.0,bulldozing,1,"Cluster 1 - eating, putting, riding"
building shed,7,2.0,building shed,1,"Cluster 1 - eating, putting, riding"
building sandcastle,17,,building sandcastle,1,"Cluster 1 - eating, putting, riding"
building lego,53,5.0,building lego,1,"Cluster 1 - eating, putting, riding"
building cabinet,8,2.0,building cabinet,1,"Cluster 1 - eating, putting, riding"
brushing teeth,18,,brushing teeth,1,"Cluster 1 - eating, putting, riding"
brushing hair,34,1.0,brushing hair,1,"Cluster 1 - eating, putting, riding"
brushing floor,11,,brushing floor,1,"Cluster 1 - eating, putting, riding"
brush painting,19,1.0,brush painting,1,"Cluster 1 - eating, putting, riding"
breathing fire,15,2.0,breathing fire,1,"Cluster 1 - eating, putting, riding"
breaking glass,17,1.0,breaking glass,1,"Cluster 1 - eating, putting, riding"
breaking boards,13,,breaking board,1,"Cluster 1 - eating, putting, riding"
breakdancing,5,,breakdancing,1,"Cluster 1 - eating, putting, riding"
breading or breadcrumbing,27,3.0,breading breadcrumbing,1,"Cluster 1 - eating, putting, riding"
braiding hair,39,1.0,braiding hair,1,"Cluster 1 - eating, putting, riding"
bowling,16,,bowling,1,"Cluster 1 - eating, putting, riding"
bouncing on trampoline,16,2.0,bouncing trampoline,1,"Cluster 1 - eating, putting, riding"
bouncing on bouncy castle,13,2.0,bouncing bouncy castle,1,"Cluster 1 - eating, putting, riding"
bouncing ball (not juggling),25,1.0,bouncing ball juggling,1,"Cluster 1 - eating, putting, riding"
bottling,7,,bottling,1,"Cluster 1 - eating, putting, riding"
bookbinding,13,,bookbinding,1,"Cluster 1 - eating, putting, riding"
bodysurfing,6,1.0,bodysurfing,1,"Cluster 1 - eating, putting, riding"
bobsledding,24,,bobsledding,1,"Cluster 1 - eating, putting, riding"
blowing out candles,7,,blowing candle,1,"Cluster 1 - eating, putting, riding"
blowing nose,6,1.0,blowing nose,1,"Cluster 1 - eating, putting, riding"
blowing leaves,7,,blowing leaf,1,"Cluster 1 - eating, putting, riding"
blowing glass,9,,blowing glass,1,"Cluster 1 - eating, putting, riding"
blowing bubble gum,32,2.0,blowing bubble gum,1,"Cluster 1 - eating, putting, riding"
blowdrying hair,12,1.0,blowdrying hair,1,"Cluster 1 - eating, putting, riding"
blending fruit,12,1.0,blending fruit,1,"Cluster 1 - eating, putting, riding"
blasting sand,8,,blasting sand,1,"Cluster 1 - eating, putting, riding"
biking through snow,14,,biking snow,1,"Cluster 1 - eating, putting, riding"
bending metal,12,,bending metal,1,"Cluster 1 - eating, putting, riding"
bending back,7,1.0,bending back,1,"Cluster 1 - eating, putting, riding"
bench pressing,6,,bench pressing,1,"Cluster 1 - eating, putting, riding"
belly dancing,5,2.0,belly dancing,6,"Cluster 6 - dancing, ballet, line"
being in zero gravity,11,1.0,zero gravity,1,"Cluster 1 - eating, putting, riding"
being excited,13,1.0,excited,1,"Cluster 1 - eating, putting, riding"
bee keeping,12,2.0,bee keeping,1,"Cluster 1 - eating, putting, riding"
beatboxing,19,1.0,beatboxing,1,"Cluster 1 - eating, putting, riding"
battle rope training,8,,battle rope training,1,"Cluster 1 - eating, putting, riding"
bathing dog,16,1.0,bathing dog,1,"Cluster 1 - eating, putting, riding"
base jumping,4,1.0,base jumping,5,"Cluster 5 - jumping, ski, pool"
bartending,16,6.0,bartending,1,"Cluster 1 - eating, putting, riding"
barbequing,10,1.0,barbequing,1,"Cluster 1 - eating, putting, riding"
bandaging,15,1.0,bandaging,1,"Cluster 1 - eating, putting, riding"
baking cookies,27,3.0,baking cooky,1,"Cluster 1 - eating, putting, riding"
backflip (human),8,,backflip human,1,"Cluster 1 - eating, putting, riding"
baby waking up,5,,baby waking,1,"Cluster 1 - eating, putting, riding"
auctioning,6,,auctioning,1,"Cluster 1 - eating, putting, riding"
attending conference,6,1.0,attending conference,1,"Cluster 1 - eating, putting, riding"
assembling computer,24,1.0,assembling computer,1,"Cluster 1 - eating, putting, riding"
assembling bicycle,6,2.0,assembling bicycle,1,"Cluster 1 - eating, putting, riding"
arresting,29,4.0,arresting,1,"Cluster 1 - eating, putting, riding"
arranging flowers,4,2.0,arranging flower,1,"Cluster 1 - eating, putting, riding"
arm wrestling,19,1.0,arm wrestling,1,"Cluster 1 - eating, putting, riding"
arguing,22,4.0,arguing,1,"Cluster 1 - eating, putting, riding"
archery,7,1.0,archery,1,"Cluster 1 - eating, putting, riding"
archaeological excavation,3,,archaeological excavation,1,"Cluster 1 - eating, putting, riding"
applying cream,10,2.0,applying cream,1,"Cluster 1 - eating, putting, riding"
applauding,3,1.0,applauding,1,"Cluster 1 - eating, putting, riding"
answering questions,22,1.0,answering question,1,"Cluster 1 - eating, putting, riding"
alligator wrestling,8,1.0,alligator wrestling,1,"Cluster 1 - eating, putting, riding"
air drumming,8,1.0,air drumming,1,"Cluster 1 - eating, putting, riding"
adjusting glasses,8,3.0,adjusting glass,1,"Cluster 1 - eating, putting, riding"
acting in play,14,2.0,acting play,1,"Cluster 1 - eating, putting, riding"
abseiling,9,1.0,abseiling,1,"Cluster 1 - eating, putting, riding"
