event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp,text,clean_text,cluster
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Welterweight,Robbie Lawler,Niko Price,fighter1,1                                  0,8                                  2,0                                  0,0                                  0,KO/TKO              Punches,1,0:38,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Welterweight Robbie Lawler Niko Price fighter1 1                                  0 8                                  2 0                                  0 0                                  0 KO/TKO              Punches 0:38 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa welterweight robbie lawler niko price fighter kotko punches,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Catch Weight,Tatsuro Taira,Edgar Chairez,fighter1,0                                  1,61                                  25,2                                  0,1                                  2,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Catch Weight Tatsuro Taira Edgar Chairez fighter1 0                                  1 61                                  25 2                                  0 1                                  2 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa catch weight tatsuro taira edgar chairez fighter udec,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Denise Gomes,Yazmin Jauregui,fighter1,1                                  0,17                                  0,0                                  0,0                                  0,KO/TKO              Punches,1,0:20,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Women's Strawweight Denise Gomes Yazmin Jauregui fighter1 1                                  0 17                                  0 0                                  0 0                                  0 KO/TKO              Punches 0:20 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa womens strawweight denise gomes yazmin jauregui fighter kotko punches,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Light Heavyweight,Alonzo Menifield,Jimmy Crute,fighter1,0                                  0,21                                  26,0                                  1,1                                  0,SUB              Guillotine Choke,2,1:55,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Light Heavyweight Alonzo Menifield Jimmy Crute fighter1 0                                  0 21                                  26 0                                  1 1                                  0 SUB              Guillotine Choke 1:55 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa light heavyweight alonzo menifield jimmy crute fighter sub guillotine choke,4
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Light Heavyweight,Vitor Petrino,Marcin Prachnio,fighter1,0                                  0,44                                  55,4                                  0,2                                  0,SUB              Arm Triangle,3,3:42,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Light Heavyweight Vitor Petrino Marcin Prachnio fighter1 0                                  0 44                                  55 4                                  0 2                                  0 SUB              Arm Triangle 3:42 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa light heavyweight vitor petrino marcin prachnio fighter sub arm triangle,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Bantamweight,Cameron Saaiman,Terrence Mitchell,fighter1,0                                  0,18                                  3,2                                  1,1                                  0,KO/TKO              Punches,1,3:10,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Bantamweight Cameron Saaiman Terrence Mitchell fighter1 0                                  0 18                                  3 2                                  1 1                                  0 KO/TKO              Punches 3:10 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa bantamweight cameron saaiman terrence mitchell fighter kotko punches,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Flyweight,Jesus Aguilar,Shannon Ross,fighter1,1                                  0,2                                  2,0                                  0,0                                  0,KO/TKO              Punch,1,0:17,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Flyweight Jesus Aguilar Shannon Ross fighter1 1                                  0 2                                  2 0                                  0 0                                  0 KO/TKO              Punch 0:17 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa flyweight jesus aguilar shannon ross fighter kotko punch,1
UFC 290: Volkanovski vs. Rodriguez,July 08 2023,"Las Vegas, Nevada, USA",Lightweight,Esteban Ribovics,Kamuela Kirk,fighter1,0                                  0,115                                  56,2                                  3,0                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC 290: Volkanovski vs. Rodriguez July 08 2023 Las Vegas, Nevada, USA Lightweight Esteban Ribovics Kamuela Kirk fighter1 0                                  0 115                                  56 2                                  3 0                                  1 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc volkanovski vs rodriguez july las vegas nevada usa lightweight esteban ribovics kamuela kirk fighter udec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Middleweight,Sean Strickland,Abus Magomedov,fighter1,1                                  0,81                                  47,0                                  1,0                                  0,KO/TKO              Punches,2,4:20,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Middleweight Sean Strickland Abus Magomedov fighter1 1                                  0 81                                  47 0                                  1 0                                  0 KO/TKO              Punches 4:20 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa middleweight sean strickland abus magomedov fighter kotko punches,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Lightweight,Grant Dawson,Damir Ismagulov,fighter1,0                                  0,30                                  13,3                                  0,1                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Lightweight Grant Dawson Damir Ismagulov fighter1 0                                  0 30                                  13 3                                  0 1                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa lightweight grant dawson damir ismagulov fighter udec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Welterweight,Michael Morales,Max Griffin,fighter1,0                                  0,72                                  36,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Welterweight Michael Morales Max Griffin fighter1 0                                  0 72                                  36 1                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa welterweight michael morales max griffin fighter udec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Ariane Lipski,Melissa Gatto,fighter1,0                                  0,66                                  85,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Women's Flyweight Ariane Lipski Melissa Gatto fighter1 0                                  0 66                                  85 1                                  0 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa womens flyweight ariane lipski melissa gatto fighter sdec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Lightweight,Benoit Saint Denis,Ismael Bonfim,fighter1,0                                  0,13                                  14,2                                  0,2                                  0,SUB              Rear Naked Choke,1,4:48,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Lightweight Benoit Saint Denis Ismael Bonfim fighter1 0                                  0 13                                  14 2                                  0 2                                  0 SUB              Rear Naked Choke 4:48 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa lightweight benoit saint denis ismael bonfim fighter sub rear naked choke,4
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Middleweight,Nursulton Ruziboev,Brunno Ferreira,fighter1,0                                  0,6                                  3,1                                  0,0                                  0,KO/TKO              Punches,1,1:17,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Middleweight Nursulton Ruziboev Brunno Ferreira fighter1 0                                  0 6                                  3 1                                  0 0                                  0 KO/TKO              Punches 1:17 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa middleweight nursulton ruziboev brunno ferreira fighter kotko punches,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Welterweight,Rinat Fakhretdinov,Kevin Lee,fighter1,1                                  0,11                                  3,0                                  0,1                                  0,SUB              Guillotine Choke,1,0:55,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Welterweight Rinat Fakhretdinov Kevin Lee fighter1 1                                  0 11                                  3 0                                  0 1                                  0 SUB              Guillotine Choke 0:55 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa welterweight rinat fakhretdinov kevin lee fighter sub guillotine choke,4
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Featherweight,Joanderson Brito,Westin Wilson,fighter1,0                                  0,22                                  4,1                                  0,0                                  2,KO/TKO              Punches,1,2:54,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Featherweight Joanderson Brito Westin Wilson fighter1 0                                  0 22                                  4 1                                  0 0                                  2 KO/TKO              Punches 2:54 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa featherweight joanderson brito westin wilson fighter kotko punches,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Women's Featherweight,Karol Rosa,Yana Santos,fighter1,0                                  0,66                                  95,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Women's Featherweight Karol Rosa Yana Santos fighter1 0                                  0 66                                  95 1                                  0 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa womens featherweight karol rosa yana santos fighter sdec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Lightweight,Elves Brener,Guram Kutateladze,fighter1,1                                  0,65                                  85,2                                  1,0                                  0,KO/TKO              Punch,3,3:17,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Lightweight Elves Brener Guram Kutateladze fighter1 1                                  0 65                                  85 2                                  1 0                                  0 KO/TKO              Punch 3:17 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa lightweight elves brener guram kutateladze fighter kotko punch,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Luana Carolina,Ivana Petrovic,fighter1,0                                  0,41                                  22,1                                  2,0                                  2,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Women's Flyweight Luana Carolina Ivana Petrovic fighter1 0                                  0 41                                  22 1                                  2 0                                  2 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa womens flyweight luana carolina ivana petrovic fighter udec,1
UFC Fight Night: Strickland vs. Magomedov,July 01 2023,"Las Vegas, Nevada, USA",Heavyweight,Alexandr Romanov,Blagoy Ivanov,fighter1,0                                  0,85                                  44,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Strickland vs. Magomedov July 01 2023 Las Vegas, Nevada, USA Heavyweight Alexandr Romanov Blagoy Ivanov fighter1 0                                  0 85                                  44 2                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night strickland vs magomedov july las vegas nevada usa heavyweight alexandr romanov blagoy ivanov fighter udec,1
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Featherweight,Ilia Topuria,Josh Emmett,fighter1,1                                  0,152                                  87,3                                  0,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Featherweight Ilia Topuria Josh Emmett fighter1 1                                  0 152                                  87 3                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa featherweight ilia topuria josh emmett fighter udec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Women's Flyweight,Maycee Barber,Amanda Ribas,fighter1,0                                  0,81                                  35,0                                  2,0                                  0,KO/TKO              Elbows,2,3:42,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Women's Flyweight Maycee Barber Amanda Ribas fighter1 0                                  0 81                                  35 0                                  2 0                                  0 KO/TKO              Elbows 3:42 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa womens flyweight maycee barber amanda ribas fighter kotko elbows,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Heavyweight,Austen Lane,Justin Tafa,No contest,0                                  0,3                                  0,0                                  0,0                                  0,CNC,1,0:29,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Heavyweight Austen Lane Justin Tafa No contest 0                                  0 3                                  0 0                                  0 0                                  0 CNC 0:29 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa heavyweight austen lane justin tafa contest cnc,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Featherweight,David Onama,Gabriel Santos,fighter1,1                                  0,53                                  39,0                                  2,0                                  2,KO/TKO              Punch,2,4:13,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Featherweight David Onama Gabriel Santos fighter1 1                                  0 53                                  39 0                                  2 0                                  2 KO/TKO              Punch 4:13 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa featherweight david onama gabriel santos fighter kotko punch,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Middleweight,Brendan Allen,Bruno Silva,fighter1,1                                  0,30                                  20,0                                  0,1                                  0,SUB              Rear Naked Choke,1,4:39,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Middleweight Brendan Allen Bruno Silva fighter1 1                                  0 30                                  20 0                                  0 1                                  0 SUB              Rear Naked Choke 4:39 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa middleweight brendan allen bruno silva fighter sub rear naked choke,4
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Welterweight,Neil Magny,Phil Rowe,fighter1,0                                  0,29                                  34,0                                  1,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Welterweight Neil Magny Phil Rowe fighter1 0                                  0 29                                  34 0                                  1 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa welterweight neil magny phil rowe fighter sdec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Welterweight,Randy Brown,Wellington Turman,fighter1,0                                  0,64                                  55,2                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Welterweight Randy Brown Wellington Turman fighter1 0                                  0 64                                  55 2                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa welterweight randy brown wellington turman fighter udec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Lightweight,Mateusz Rebecki,Loik Radzhabov,fighter1,2                                  0,54                                  19,1                                  0,1                                  0,KO/TKO              Punch,2,2:36,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Lightweight Mateusz Rebecki Loik Radzhabov fighter1 2                                  0 54                                  19 1                                  0 1                                  0 KO/TKO              Punch 2:36 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa lightweight mateusz rebecki loik radzhabov fighter kotko punch,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Women's Strawweight,Tabatha Ricci,Gillian Robertson,fighter1,0                                  0,100                                  76,3                                  1,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Women's Strawweight Tabatha Ricci Gillian Robertson fighter1 0                                  0 100                                  76 3                                  1 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa womens strawweight tabatha ricci gillian robertson fighter udec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Flyweight,Joshua Van,Zhalgas Zhumagulov,fighter1,0                                  0,120                                  103,0                                  1,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Flyweight Joshua Van Zhalgas Zhumagulov fighter1 0                                  0 120                                  103 0                                  1 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa flyweight joshua van zhalgas zhumagulov fighter sdec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Lightweight,Chepe Mariscal,Trevor Peek,fighter1,0                                  0,71                                  51,4                                  0,1                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Lightweight Chepe Mariscal Trevor Peek fighter1 0                                  0 71                                  51 4                                  0 1                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa lightweight chepe mariscal trevor peek fighter udec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Featherweight,Jack Jenkins,Jamall Emmers,fighter1,0                                  0,59                                  57,1                                  1,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Featherweight Jack Jenkins Jamall Emmers fighter1 0                                  0 59                                  57 1                                  1 0                                  0 S-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa featherweight jack jenkins jamall emmers fighter sdec,0
UFC Fight Night: Emmett vs. Topuria,June 24 2023,"Jacksonville, Florida, USA",Middleweight,Sedriques Dumas,Cody Brundage,fighter1,0                                  0,17                                  3,0                                  2,0                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Emmett vs. Topuria June 24 2023 Jacksonville, Florida, USA Middleweight Sedriques Dumas Cody Brundage fighter1 0                                  0 17                                  3 0                                  2 0                                  1 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night emmett vs topuria june jacksonville florida usa middleweight sedriques dumas cody brundage fighter udec,0
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Middleweight,Jared Cannonier,Marvin Vettori,fighter1,0                                  0,241                                  153,4                                  1,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Middleweight Jared Cannonier Marvin Vettori fighter1 0                                  0 241                                  153 4                                  1 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa middleweight jared cannonier marvin vettori fighter udec,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Lightweight,Arman Tsarukyan,Joaquim Silva,fighter1,0                                  0,80                                  23,4                                  0,0                                  0,KO/TKO              Punches,3,3:25,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Lightweight Arman Tsarukyan Joaquim Silva fighter1 0                                  0 80                                  23 4                                  0 0                                  0 KO/TKO              Punches 3:25 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa lightweight arman tsarukyan joaquim silva fighter kotko punches,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Middleweight,Armen Petrosyan,Christian Leroy Duncan,fighter1,0                                  0,89                                  59,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Middleweight Armen Petrosyan Christian Leroy Duncan fighter1 0                                  0 89                                  59 1                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa middleweight armen petrosyan christian leroy duncan fighter udec,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Featherweight,Pat Sabatini,Lucas Almeida,fighter1,0                                  0,27                                  2,2                                  0,1                                  0,SUB              Arm Triangle,2,1:48,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Featherweight Pat Sabatini Lucas Almeida fighter1 0                                  0 27                                  2 2                                  0 1                                  0 SUB              Arm Triangle 1:48 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa featherweight pat sabatini lucas almeida fighter sub arm triangle,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Lightweight,Manuel Torres,Nikolas Motta,fighter1,1                                  0,13                                  7,0                                  0,0                                  0,KO/TKO              Elbow,1,1:50,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Lightweight Manuel Torres Nikolas Motta fighter1 1                                  0 13                                  7 0                                  0 0                                  0 KO/TKO              Elbow 1:50 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa lightweight manuel torres nikolas motta fighter kotko elbow,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Welterweight,Nicolas Dalby,Muslim Salikhov,fighter1,0                                  0,86                                  57,2                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Welterweight Nicolas Dalby Muslim Salikhov fighter1 0                                  0 86                                  57 2                                  2 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa welterweight nicolas dalby muslim salikhov fighter udec,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Flyweight,Alessandro Costa,Jimmy Flick,fighter1,1                                  0,65                                  14,0                                  0,0                                  0,KO/TKO              Elbows,2,1:03,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Flyweight Alessandro Costa Jimmy Flick fighter1 1                                  0 65                                  14 0                                  0 0                                  0 KO/TKO              Elbows 1:03 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa flyweight alessandro costa jimmy flick fighter kotko elbows,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Bantamweight,Kyung Ho Kang,Cristian Quinonez,fighter1,1                                  0,22                                  13,1                                  0,1                                  0,SUB              Rear Naked Choke,1,2:25,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Bantamweight Kyung Ho Kang Cristian Quinonez fighter1 1                                  0 22                                  13 1                                  0 1                                  0 SUB              Rear Naked Choke 2:25 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa bantamweight kyung ho kang cristian quinonez fighter sub rear naked choke,4
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Flyweight,Carlos Hernandez,Denys Bondar,fighter1,0                                  0,102                                  76,2                                  2,0                                  0,U-DEC,3,4:59,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Flyweight Carlos Hernandez Denys Bondar fighter1 0                                  0 102                                  76 2                                  2 0                                  0 U-DEC 4:59 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa flyweight carlos hernandez denys bondar fighter udec,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Tereza Bleda,Gabriella Fernandes,fighter1,0                                  0,57                                  23,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Women's Flyweight Tereza Bleda Gabriella Fernandes fighter1 0                                  0 57                                  23 3                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa womens flyweight tereza bleda gabriella fernandes fighter udec,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Bantamweight,Dan Argueta,Ronnie Lawrence,No contest,0                                  0,4                                  1,1                                  0,2                                  0,Overturned,1,2:20,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Bantamweight Dan Argueta Ronnie Lawrence No contest 0                                  0 4                                  1 1                                  0 2                                  0 Overturned 2:20 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa bantamweight dan argueta ronnie lawrence contest overturned,1
UFC Fight Night: Vettori vs. Cannonier,June 17 2023,"Las Vegas, Nevada, USA",Light Heavyweight,Modestas Bukauskas,Zac Pauga,fighter1,0                                  0,56                                  67,0                                  1,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363,"UFC Fight Night: Vettori vs. Cannonier June 17 2023 Las Vegas, Nevada, USA Light Heavyweight Modestas Bukauskas Zac Pauga fighter1 0                                  0 56                                  67 0                                  1 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc fight night vettori vs cannonier june las vegas nevada usa light heavyweight modestas bukauskas zac pauga fighter udec,1
UFC 289: Nunes vs. Aldana,June 10 2023,"Vancouver, British Columbia, Canada",Women's Bantamweight,Amanda Nunes,Irene Aldana,fighter1,0                                  0,142                                  41,6                                  0,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363,"UFC 289: Nunes vs. Aldana June 10 2023 Vancouver, British Columbia, Canada Women's Bantamweight Amanda Nunes Irene Aldana fighter1 0                                  0 142                                  41 6                                  0 0                                  0 U-DEC 5:00 2023-09-21 02:02:55.178363",ufc nunes vs aldana june vancouver british columbia canada womens bantamweight amanda nunes irene aldana fighter udec,0
