cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID,Cluster,NLP_Cluster
no,monthly,89,0,569,engineering manager,yes,4728,2,2
no,monthly,55,11,1020,product manager,yes,4729,2,0
yes,annual,46,1,554,engineering manager,no,4730,2,2
yes,monthly,61,1,1199,product manager,no,4731,2,0
no,monthly,0,5,697,engineering manager,yes,4732,2,2
no,annual,140,4,384,developer,yes,4733,2,1
no,monthly,109,3,448,product manager,no,4734,2,0
no,monthly,43,11,859,engineering manager,no,4735,2,2
no,annual,146,5,1003,developer,no,4736,2,1
no,annual,96,1,228,developer,yes,4737,2,1
no,monthly,84,2,366,developer,no,4738,2,1
no,monthly,107,3,252,product manager,no,4739,2,0
no,annual,49,20,189,product manager,yes,4740,0,0
no,monthly,115,9,327,product manager,no,4741,2,0
no,monthly,32,5,362,developer,no,4742,2,1
no,monthly,82,9,9,product manager,no,4743,2,0
no,monthly,60,12,828,engineering manager,yes,4744,2,2
no,monthly,10,6,250,engineering manager,yes,4745,2,2
yes,annual,70,3,1109,sales,yes,4746,2,1
yes,monthly,37,11,516,designer,yes,4747,2,1
no,monthly,92,1,721,engineering manager,no,4748,2,2
yes,annual,98,2,668,marketer,no,4749,2,1
yes,monthly,87,0,999,engineering manager,no,4750,2,2
yes,monthly,95,2,1092,sales,no,4751,2,1
no,monthly,94,11,1081,engineering manager,no,4752,2,2
yes,annual,20,3,998,sales,no,4753,2,1
no,monthly,62,8,594,engineering manager,yes,4754,2,2
yes,monthly,40,3,621,engineering manager,no,4755,2,2
no,annual,77,12,426,developer,no,4756,0,1
no,annual,43,17,846,engineering manager,no,4757,0,2
no,annual,143,19,627,product manager,yes,4758,0,0
no,monthly,96,14,110,developer,yes,4759,0,1
yes,annual,10,1,1097,designer,yes,4760,2,1
no,annual,107,5,777,developer,yes,4761,2,1
no,monthly,106,6,656,developer,yes,4762,2,1
no,monthly,130,4,191,product manager,no,4763,2,0
no,monthly,100,5,854,product manager,yes,4764,2,0
no,monthly,131,14,405,product manager,no,4765,0,0
yes,monthly,20,5,923,developer,no,4766,2,1
yes,annual,47,12,1176,engineering manager,no,4767,2,2
yes,monthly,69,4,168,developer,no,4768,2,1
no,monthly,72,16,826,product manager,yes,4769,0,0
no,monthly,108,19,80,engineering manager,no,4770,0,2
no,monthly,60,9,36,developer,no,4771,2,1
no,monthly,107,5,307,developer,no,4772,2,1
yes,annual,2,9,889,engineering manager,yes,4773,2,2
yes,annual,66,6,813,engineering manager,yes,4774,2,2
no,monthly,133,18,669,product manager,no,4775,0,0
no,monthly,64,15,253,engineering manager,no,4776,0,2
no,monthly,86,20,951,developer,no,4777,0,1
yes,annual,59,3,218,designer,no,4778,2,1
no,monthly,63,18,1187,product manager,yes,4779,0,0
no,monthly,61,8,52,product manager,yes,4780,2,0
no,monthly,46,11,249,product manager,no,4781,2,0
no,monthly,118,11,530,developer,no,4782,0,1
yes,monthly,51,2,914,designer,no,4783,2,1
no,monthly,130,17,281,engineering manager,no,4784,0,2
no,annual,148,10,242,engineering manager,yes,4785,0,2
no,annual,76,0,456,developer,no,4786,2,1
no,monthly,32,12,1161,engineering manager,yes,4787,2,2
no,monthly,34,7,313,developer,no,4788,2,1
no,annual,40,5,735,product manager,yes,4789,2,0
no,monthly,123,11,1047,product manager,no,4790,0,0
no,monthly,19,4,536,developer,no,4791,2,1
no,monthly,114,5,351,developer,no,4792,2,1
no,monthly,124,5,974,engineering manager,yes,4793,2,2
no,annual,148,19,331,engineering manager,no,4794,0,2
no,annual,50,18,801,engineering manager,yes,4795,0,2
no,monthly,0,9,594,engineering manager,yes,4796,2,2
yes,annual,46,8,645,marketer,no,4797,2,1
no,annual,64,18,376,developer,yes,4798,0,1
no,annual,89,14,1197,engineering manager,yes,4799,0,2
no,annual,51,14,225,engineering manager,yes,4800,0,2
no,monthly,92,20,1072,product manager,yes,4801,0,0
no,monthly,135,18,882,engineering manager,no,4802,0,2
no,monthly,130,14,627,product manager,yes,4803,0,0
yes,monthly,63,6,231,developer,yes,4804,2,1
yes,annual,83,11,1181,designer,no,4805,2,1
no,monthly,43,12,712,developer,yes,4806,2,1
no,monthly,65,15,339,developer,no,4807,0,1
no,monthly,84,10,905,developer,no,4808,2,1
no,monthly,133,0,649,product manager,yes,4809,2,0
no,annual,105,1,1059,product manager,no,4810,2,0
yes,monthly,14,0,865,designer,no,4811,2,1
no,monthly,74,20,239,engineering manager,yes,4812,0,2
yes,annual,54,4,1095,developer,yes,4813,2,1
no,monthly,67,11,1069,product manager,no,4814,2,0
no,monthly,85,7,1075,engineering manager,no,4815,2,2
no,monthly,106,9,480,engineering manager,yes,4816,2,2
no,monthly,66,20,761,engineering manager,no,4817,0,2
yes,monthly,61,9,562,designer,no,4818,2,1
no,monthly,28,16,361,product manager,no,4819,0,0
no,monthly,49,14,1020,product manager,yes,4820,0,0
no,monthly,140,17,451,developer,yes,4821,0,1
no,monthly,36,18,663,engineering manager,yes,4822,0,2
no,annual,130,11,787,engineering manager,no,4823,0,2
no,annual,54,19,379,engineering manager,no,4824,0,2
no,monthly,48,4,861,product manager,no,4825,2,0
no,monthly,85,10,290,engineering manager,no,4826,2,2
no,monthly,100,5,1125,engineering manager,no,4827,2,2
yes,monthly,25,5,719,product manager,no,4828,2,0
yes,monthly,86,10,405,developer,yes,4829,2,1
no,monthly,94,6,575,product manager,yes,4830,2,0
no,monthly,82,1,250,product manager,no,4831,2,0
no,monthly,55,19,508,product manager,no,4832,0,0
no,monthly,139,12,466,engineering manager,yes,4833,0,2
no,annual,14,1,428,developer,yes,4834,2,1
yes,monthly,69,1,777,product manager,no,4835,2,0
yes,monthly,14,1,1041,engineering manager,no,4836,2,2
no,annual,117,18,500,engineering manager,no,4837,0,2
no,monthly,121,13,938,engineering manager,no,4838,0,2
yes,monthly,69,7,919,designer,yes,4839,2,1
no,annual,73,7,1,engineering manager,no,4840,2,2
no,monthly,35,7,1171,product manager,no,4841,2,0
yes,annual,93,9,1186,designer,no,4842,2,1
no,monthly,4,18,299,engineering manager,yes,4843,0,2
no,monthly,127,13,1069,product manager,yes,4844,0,0
no,annual,0,3,1185,engineering manager,no,4845,2,2
yes,monthly,40,0,41,engineering manager,yes,4846,2,2
yes,monthly,60,10,130,developer,no,4847,2,1
yes,monthly,94,11,593,marketer,no,4848,2,1
no,monthly,92,10,107,engineering manager,no,4849,2,2
no,monthly,146,13,858,product manager,yes,4850,0,0
no,monthly,124,11,719,developer,yes,4851,0,1
no,annual,70,9,1185,engineering manager,no,4852,2,2
no,annual,147,14,366,developer,yes,4853,0,1
no,monthly,75,19,302,developer,no,4854,0,1
no,monthly,67,18,1104,engineering manager,no,4855,0,2
yes,annual,16,4,465,developer,yes,4856,2,1
yes,monthly,58,2,628,developer,no,4857,2,1
no,monthly,73,12,659,product manager,yes,4858,2,0
yes,monthly,63,2,104,designer,yes,4859,2,1
yes,annual,90,4,680,sales,no,4860,2,1
no,monthly,127,11,395,developer,yes,4861,0,1
no,monthly,136,12,62,product manager,yes,4862,0,0
no,monthly,30,10,64,product manager,yes,4863,2,0
no,monthly,39,15,1153,product manager,no,4864,0,0
no,monthly,78,5,42,engineering manager,no,4865,2,2
no,monthly,55,15,332,developer,yes,4866,0,1
no,monthly,139,19,1063,developer,no,4867,0,1
yes,annual,0,10,518,engineering manager,yes,4868,2,2
no,monthly,138,8,1024,product manager,no,4869,2,0
yes,monthly,10,7,458,developer,yes,4870,2,1
yes,monthly,80,1,922,designer,no,4871,2,1
no,monthly,142,2,750,product manager,yes,4872,2,0
no,monthly,121,3,1057,developer,no,4873,2,1
yes,annual,67,6,936,product manager,yes,4874,2,0
no,annual,80,7,70,product manager,yes,4875,2,0
yes,monthly,80,4,1135,marketer,no,4876,2,1
no,monthly,36,19,861,engineering manager,yes,4877,0,2
yes,monthly,60,12,265,developer,no,4878,2,1
no,monthly,77,6,922,engineering manager,no,4879,2,2
yes,monthly,71,5,297,developer,no,4880,2,1
no,monthly,12,18,364,developer,yes,4881,0,1
yes,monthly,32,2,257,engineering manager,yes,4882,2,2
no,annual,131,15,417,developer,no,4883,0,1
no,monthly,141,17,298,developer,no,4884,0,1
yes,monthly,28,1,518,sales,no,4885,2,1
no,monthly,51,1,803,developer,yes,4886,2,1
no,monthly,51,0,195,product manager,yes,4887,2,0
no,monthly,138,15,1192,engineering manager,yes,4888,0,2
yes,monthly,68,4,1149,product manager,yes,4889,2,0
yes,monthly,9,5,14,designer,yes,4890,2,1
no,monthly,127,12,506,developer,yes,4891,0,1
yes,annual,76,0,836,designer,yes,4892,2,1
no,monthly,37,19,889,engineering manager,no,4893,0,2
no,monthly,38,4,1193,product manager,yes,4894,2,0
no,monthly,148,14,78,developer,no,4895,0,1
no,monthly,30,8,301,product manager,no,4896,2,0
yes,annual,53,2,261,marketer,no,4897,2,1
yes,monthly,2,8,327,marketer,yes,4898,2,1
yes,monthly,11,6,328,engineering manager,no,4899,2,2
yes,monthly,52,10,237,marketer,no,4900,2,1
no,annual,24,17,1122,product manager,yes,4901,0,0
no,monthly,15,0,743,engineering manager,yes,4902,2,2
no,monthly,95,9,782,product manager,yes,4903,2,0
no,monthly,45,12,679,engineering manager,no,4904,2,2
yes,annual,91,10,824,marketer,no,4905,2,1
no,annual,63,18,705,developer,yes,4906,0,1
yes,annual,70,2,423,developer,no,4907,2,1
no,monthly,141,14,112,product manager,no,4908,0,0
no,monthly,75,9,118,engineering manager,no,4909,2,2
no,monthly,68,20,930,engineering manager,yes,4910,0,2
no,monthly,32,20,891,engineering manager,no,4911,0,2
no,annual,11,17,103,product manager,yes,4912,0,0
yes,monthly,8,10,879,sales,no,4913,2,1
yes,annual,81,7,805,developer,yes,4914,2,1
no,monthly,62,16,479,product manager,no,4915,0,0
no,monthly,122,19,255,product manager,yes,4916,0,0
no,monthly,129,0,214,developer,no,4917,2,1
yes,monthly,37,12,995,marketer,no,4918,2,1
yes,monthly,25,3,238,designer,no,4919,2,1
no,monthly,6,9,367,product manager,no,4920,2,0
yes,monthly,94,8,231,sales,yes,4921,2,1
yes,monthly,58,2,86,developer,yes,4922,2,1
no,monthly,21,15,1032,product manager,no,4923,0,0
no,annual,105,3,338,engineering manager,yes,4924,2,2
no,monthly,132,18,132,engineering manager,no,4925,0,2
yes,monthly,35,2,443,sales,no,4926,2,1
no,monthly,10,9,700,developer,no,4927,2,1
yes,monthly,67,12,1079,sales,no,4928,2,1
yes,monthly,19,9,140,designer,no,4929,2,1
no,monthly,54,11,1117,developer,no,4930,2,1
yes,annual,40,0,354,engineering manager,no,4931,2,2
no,monthly,99,20,378,engineering manager,no,4932,0,2
yes,monthly,7,5,1090,designer,no,4933,2,1
yes,annual,55,7,717,engineering manager,yes,4934,2,2
no,monthly,74,1,727,engineering manager,yes,4935,2,2
yes,annual,99,5,817,developer,no,4936,2,1
no,monthly,1,11,716,developer,no,4937,2,1
yes,monthly,93,7,444,developer,no,4938,2,1
yes,monthly,78,11,559,product manager,no,4939,2,0
yes,monthly,51,5,1187,marketer,no,4940,2,1
no,monthly,148,18,728,developer,yes,4941,0,1
no,monthly,23,13,1196,developer,no,4942,2,1
yes,monthly,5,1,73,developer,yes,4943,2,1
no,monthly,121,8,1026,engineering manager,yes,4944,2,2
no,monthly,125,8,578,engineering manager,no,4945,2,2
no,monthly,131,6,1133,product manager,no,4946,2,0
no,annual,55,13,1120,developer,yes,4947,2,1
yes,monthly,18,12,226,engineering manager,no,4948,2,2
no,monthly,23,9,167,product manager,no,4949,2,0
yes,annual,11,11,232,product manager,no,4950,2,0
no,monthly,113,4,510,product manager,no,4951,2,0
no,annual,93,14,1169,developer,no,4952,0,1
no,monthly,91,7,920,developer,yes,4953,2,1
no,monthly,57,8,323,product manager,no,4954,2,0
no,annual,138,4,772,developer,yes,4955,2,1
no,annual,61,11,792,product manager,no,4956,2,0
no,monthly,18,1,870,product manager,no,4957,2,0
no,monthly,93,14,452,product manager,yes,4958,0,0
no,monthly,94,17,313,developer,yes,4959,0,1
no,monthly,102,14,606,developer,yes,4960,0,1
no,monthly,2,20,524,engineering manager,no,4961,0,2
yes,annual,56,5,390,sales,no,4962,2,1
no,monthly,8,9,357,developer,no,4963,2,1
no,monthly,24,9,586,engineering manager,yes,4964,2,2
yes,monthly,21,12,915,designer,yes,4965,2,1
no,monthly,45,15,822,developer,yes,4966,0,1
yes,monthly,16,6,126,product manager,yes,4967,2,0
no,monthly,118,18,474,engineering manager,yes,4968,0,2
no,monthly,124,18,597,developer,no,4969,0,1
yes,monthly,81,1,380,sales,yes,4970,2,1
no,monthly,140,10,286,developer,no,4971,0,1
no,annual,117,10,897,developer,yes,4972,2,1
yes,monthly,35,11,1146,sales,no,4973,2,1
no,monthly,105,0,815,product manager,no,4974,2,0
no,annual,32,9,247,product manager,yes,4975,2,0
no,monthly,52,2,697,developer,no,4976,2,1
yes,monthly,5,3,947,engineering manager,yes,4977,2,2
no,monthly,42,10,1020,developer,yes,4978,2,1
yes,monthly,67,11,644,designer,no,4979,2,1
no,monthly,4,20,390,developer,yes,4980,0,1
yes,annual,47,2,1193,designer,yes,4981,2,1
yes,annual,4,8,115,sales,yes,4982,2,1
no,monthly,34,20,84,product manager,yes,4983,0,0
no,monthly,109,12,657,developer,yes,4984,0,1
no,monthly,102,10,194,developer,no,4985,2,1
no,annual,49,6,596,engineering manager,no,4986,2,2
no,monthly,20,3,353,developer,yes,4987,2,1
yes,monthly,95,9,327,sales,yes,4988,2,1
yes,monthly,92,12,13,marketer,yes,4989,0,1
yes,monthly,51,9,76,engineering manager,no,4990,2,2
no,annual,66,12,263,product manager,no,4991,0,0
yes,monthly,77,8,972,developer,no,4992,2,1
yes,monthly,66,7,1129,marketer,no,4993,2,1
no,annual,28,10,869,product manager,yes,4994,2,0
no,monthly,145,18,574,developer,no,4995,0,1
yes,monthly,41,0,437,marketer,yes,4996,2,1
yes,monthly,54,2,412,sales,no,4997,2,1
no,monthly,88,2,983,engineering manager,no,4998,2,2
yes,annual,76,10,1078,sales,no,4999,2,1
no,monthly,98,14,612,product manager,yes,5000,0,0
no,annual,33,18,761,developer,no,5001,0,1
yes,annual,53,5,1117,developer,no,5002,2,1
no,annual,6,19,1056,developer,no,5003,0,1
yes,monthly,7,10,307,product manager,no,5004,2,0
no,annual,40,4,204,engineering manager,no,5005,2,2
yes,monthly,86,2,558,developer,no,5006,2,1
no,monthly,13,5,739,product manager,no,5007,2,0
yes,monthly,55,3,515,engineering manager,no,5008,2,2
no,monthly,16,0,210,engineering manager,no,5009,2,2
no,monthly,125,12,721,developer,yes,5010,0,1
no,monthly,91,19,463,developer,no,5011,0,1
no,annual,95,8,1014,engineering manager,yes,5012,2,2
no,monthly,78,10,865,developer,no,5013,2,1
yes,monthly,32,1,670,designer,no,5014,2,1
no,annual,69,2,1171,product manager,yes,5015,2,0
no,monthly,117,17,574,developer,yes,5016,0,1
yes,monthly,25,4,584,developer,no,5017,2,1
no,monthly,19,12,703,engineering manager,yes,5018,2,2
no,monthly,7,16,452,product manager,no,5019,0,0
no,monthly,130,19,112,engineering manager,yes,5020,0,2
yes,annual,17,9,928,developer,no,5021,2,1
no,monthly,87,8,504,developer,yes,5022,2,1
yes,monthly,76,5,626,developer,no,5023,2,1
no,annual,143,15,848,product manager,no,5024,0,0
no,monthly,21,14,155,product manager,no,5025,0,0
no,monthly,32,11,639,developer,no,5026,2,1
yes,monthly,3,6,231,engineering manager,no,5027,2,2
no,monthly,52,2,279,product manager,no,5028,2,0
yes,monthly,61,8,260,designer,yes,5029,2,1
no,monthly,89,7,1066,engineering manager,no,5030,2,2
no,monthly,26,8,54,engineering manager,yes,5031,2,2
no,annual,8,14,59,developer,no,5032,2,1
yes,monthly,24,11,218,marketer,yes,5033,2,1
no,annual,90,1,11,engineering manager,yes,5034,2,2
no,annual,78,12,106,product manager,yes,5035,0,0
yes,annual,22,3,723,engineering manager,no,5036,2,2
no,annual,17,20,387,product manager,no,5037,0,0
no,annual,24,7,288,engineering manager,no,5038,2,2
no,monthly,94,9,768,developer,yes,5039,2,1
yes,monthly,87,8,845,engineering manager,no,5040,2,2
no,monthly,12,4,266,developer,yes,5041,2,1
yes,monthly,46,10,816,developer,yes,5042,2,1
yes,monthly,28,5,684,sales,no,5043,2,1
no,monthly,98,9,1176,product manager,no,5044,2,0
yes,monthly,22,0,726,sales,no,5045,2,1
no,monthly,61,18,515,developer,no,5046,0,1
no,annual,84,20,109,engineering manager,yes,5047,0,2
yes,monthly,8,6,109,engineering manager,yes,5048,2,2
yes,monthly,29,0,924,sales,yes,5049,2,1
no,monthly,29,6,366,product manager,no,5050,2,0
no,monthly,88,2,22,engineering manager,yes,5051,2,2
no,annual,19,4,658,product manager,no,5052,2,0
no,monthly,121,5,363,engineering manager,no,5053,2,2
yes,monthly,54,8,987,engineering manager,no,5054,2,2
yes,annual,15,8,1007,engineering manager,yes,5055,2,2
yes,annual,67,6,1008,developer,no,5056,2,1
no,monthly,110,0,624,engineering manager,no,5057,2,2
no,annual,68,9,669,product manager,no,5058,2,0
no,monthly,26,20,1077,product manager,yes,5059,0,0
no,annual,112,1,557,engineering manager,no,5060,2,2
no,monthly,41,14,183,product manager,yes,5061,0,0
yes,annual,99,4,1160,developer,yes,5062,2,1
yes,annual,56,4,349,designer,no,5063,2,1
no,monthly,40,4,197,developer,no,5064,2,1
yes,monthly,69,2,1045,sales,no,5065,2,1
yes,monthly,34,9,524,product manager,no,5066,2,0
no,monthly,90,9,1159,developer,yes,5067,2,1
yes,monthly,50,2,820,engineering manager,yes,5068,2,2
yes,monthly,99,6,954,marketer,yes,5069,2,1
yes,monthly,39,0,805,sales,yes,5070,2,1
no,annual,55,7,241,developer,yes,5071,2,1
no,annual,87,9,1183,engineering manager,no,5072,2,2
no,monthly,118,7,556,engineering manager,no,5073,2,2
yes,monthly,91,6,699,engineering manager,no,5074,2,2
no,monthly,78,2,18,engineering manager,no,5075,2,2
no,monthly,114,15,627,product manager,yes,5076,0,0
no,annual,15,7,440,developer,no,5077,2,1
no,monthly,137,7,1008,developer,no,5078,2,1
no,annual,128,9,805,developer,no,5079,2,1
no,annual,117,4,367,product manager,yes,5080,2,0
no,monthly,112,2,256,engineering manager,no,5081,2,2
no,annual,120,6,970,product manager,no,5082,2,0
no,monthly,73,13,1078,developer,no,5083,0,1
no,monthly,120,10,1073,product manager,no,5084,0,0
no,monthly,99,4,230,engineering manager,yes,5085,2,2
no,annual,78,0,736,developer,yes,5086,2,1
yes,monthly,76,11,426,product manager,no,5087,2,0
no,monthly,122,14,458,developer,yes,5088,0,1
no,monthly,136,5,1039,engineering manager,yes,5089,2,2
no,monthly,110,12,275,engineering manager,no,5090,0,2
yes,monthly,10,8,88,sales,no,5091,2,1
no,monthly,110,3,810,developer,no,5092,2,1
no,monthly,60,17,240,developer,no,5093,0,1
no,monthly,98,13,939,product manager,yes,5094,0,0
yes,monthly,2,4,277,developer,yes,5095,2,1
yes,monthly,9,8,187,engineering manager,yes,5096,2,2
yes,monthly,91,2,847,designer,yes,5097,2,1
no,annual,106,18,516,developer,no,5098,0,1
no,monthly,96,16,455,product manager,no,5099,0,0
no,monthly,19,1,1027,product manager,no,5100,2,0
no,monthly,147,2,750,product manager,no,5101,2,0
no,monthly,28,13,731,engineering manager,yes,5102,2,2
no,annual,105,14,392,engineering manager,no,5103,0,2
no,monthly,140,18,576,product manager,no,5104,0,0
no,monthly,124,6,70,product manager,yes,5105,2,0
no,monthly,60,14,403,engineering manager,no,5106,0,2
no,monthly,90,5,627,product manager,yes,5107,2,0
no,monthly,71,16,1013,engineering manager,no,5108,0,2
no,monthly,126,3,415,developer,yes,5109,2,1
no,monthly,146,6,68,engineering manager,no,5110,2,2
no,monthly,12,20,215,developer,no,5111,0,1
yes,monthly,20,3,24,marketer,no,5112,2,1
yes,monthly,11,10,1139,developer,no,5113,2,1
yes,monthly,21,11,952,product manager,no,5114,2,0
no,annual,17,10,562,engineering manager,no,5115,2,2
no,monthly,34,7,348,developer,yes,5116,2,1
yes,annual,84,2,1144,engineering manager,no,5117,2,2
yes,monthly,21,6,636,engineering manager,no,5118,2,2
yes,monthly,47,2,177,product manager,no,5119,2,0
no,annual,111,4,1170,product manager,yes,5120,2,0
no,monthly,98,9,1076,product manager,no,5121,2,0
no,annual,107,2,1101,engineering manager,no,5122,2,2
no,monthly,85,7,321,engineering manager,yes,5123,2,2
no,annual,12,4,887,product manager,no,5124,2,0
no,annual,2,17,1036,engineering manager,no,5125,0,2
yes,monthly,29,8,782,designer,no,5126,2,1
no,monthly,46,7,435,product manager,no,5127,2,0
yes,monthly,33,4,210,marketer,no,5128,2,1
yes,monthly,17,1,27,designer,yes,5129,2,1
yes,annual,44,10,178,product manager,no,5130,2,0
no,monthly,15,5,1036,product manager,no,5131,2,0
no,annual,14,4,1139,developer,no,5132,2,1
yes,monthly,92,11,648,developer,no,5133,0,1
no,annual,47,12,33,product manager,yes,5134,2,0
yes,monthly,29,9,485,designer,no,5135,2,1
no,monthly,121,0,540,engineering manager,yes,5136,2,2
no,monthly,127,2,554,product manager,no,5137,2,0
no,monthly,10,12,181,developer,no,5138,2,1
yes,monthly,94,9,275,marketer,yes,5139,2,1
yes,monthly,41,2,671,product manager,yes,5140,2,0
no,annual,59,5,748,product manager,yes,5141,2,0
yes,monthly,12,6,1124,designer,yes,5142,2,1
no,annual,101,14,323,developer,no,5143,0,1
yes,monthly,55,11,1149,engineering manager,no,5144,2,2
no,annual,4,20,1050,engineering manager,no,5145,0,2
yes,annual,25,4,748,designer,no,5146,2,1
no,annual,37,4,953,developer,no,5147,2,1
no,monthly,131,4,219,product manager,yes,5148,2,0
no,annual,16,7,641,developer,no,5149,2,1
no,annual,48,2,888,engineering manager,no,5150,2,2
no,monthly,68,1,535,engineering manager,yes,5151,2,2
no,monthly,138,0,269,developer,no,5152,2,1
yes,monthly,22,1,1003,developer,yes,5153,2,1
yes,annual,62,4,398,sales,yes,5154,2,1
no,monthly,31,15,554,product manager,yes,5155,0,0
no,monthly,74,8,143,developer,yes,5156,2,1
no,monthly,140,1,462,developer,no,5157,2,1
no,monthly,45,15,1041,engineering manager,no,5158,0,2
no,monthly,2,1,306,developer,yes,5159,2,1
no,annual,130,3,583,engineering manager,no,5160,2,2
yes,monthly,14,2,907,engineering manager,yes,5161,2,2
no,monthly,65,17,938,engineering manager,no,5162,0,2
no,monthly,82,19,675,product manager,no,5163,0,0
no,monthly,82,13,866,product manager,yes,5164,0,0
no,monthly,110,1,999,product manager,no,5165,2,0
no,monthly,119,8,1032,developer,yes,5166,2,1
no,monthly,57,5,358,developer,no,5167,2,1
no,monthly,62,3,466,engineering manager,no,5168,2,2
no,annual,108,16,850,engineering manager,no,5169,0,2
yes,monthly,67,8,167,sales,no,5170,2,1
no,annual,99,6,1157,engineering manager,no,5171,2,2
yes,monthly,24,3,32,marketer,no,5172,2,1
no,monthly,28,0,66,developer,no,5173,2,1
yes,monthly,25,10,914,product manager,no,5174,2,0
no,monthly,58,3,157,engineering manager,no,5175,2,2
no,monthly,33,14,352,engineering manager,yes,5176,0,2
no,monthly,37,3,90,product manager,yes,5177,2,0
no,monthly,120,14,209,product manager,no,5178,0,0
no,monthly,140,14,675,engineering manager,no,5179,0,2
yes,monthly,53,9,748,product manager,no,5180,2,0
no,monthly,110,5,103,product manager,no,5181,2,0
no,annual,99,3,1037,product manager,no,5182,2,0
no,annual,45,13,195,product manager,no,5183,0,0
no,monthly,148,18,632,product manager,no,5184,0,0
no,monthly,117,10,594,product manager,no,5185,0,0
no,monthly,131,3,774,product manager,no,5186,2,0
yes,monthly,37,3,901,designer,yes,5187,2,1
no,monthly,106,4,1106,engineering manager,no,5188,2,2
no,monthly,0,4,150,product manager,no,5189,2,0
yes,monthly,35,8,1026,developer,no,5190,2,1
yes,monthly,53,9,297,product manager,yes,5191,2,0
yes,monthly,31,6,362,product manager,yes,5192,2,0
yes,annual,52,10,1146,developer,no,5193,2,1
yes,monthly,31,1,740,sales,no,5194,2,1
no,annual,144,9,895,developer,no,5195,0,1
no,annual,141,6,85,engineering manager,yes,5196,2,2
no,annual,28,10,504,engineering manager,yes,5197,2,2
yes,monthly,22,10,453,engineering manager,yes,5198,2,2
no,annual,143,18,553,engineering manager,yes,5199,0,2
no,monthly,115,11,915,engineering manager,yes,5200,0,2
no,monthly,120,1,92,product manager,no,5201,2,0
no,annual,138,1,414,developer,yes,5202,2,1
no,annual,21,9,817,product manager,no,5203,2,0
no,monthly,127,5,624,product manager,yes,5204,2,0
yes,annual,82,9,838,sales,yes,5205,2,1
yes,annual,23,4,665,sales,no,5206,2,1
yes,monthly,90,0,907,designer,no,5207,2,1
yes,annual,97,0,1197,developer,yes,5208,2,1
no,monthly,43,0,741,product manager,yes,5209,2,0
no,monthly,15,12,835,engineering manager,no,5210,2,2
no,monthly,5,1,717,engineering manager,no,5211,2,2
yes,annual,30,12,567,sales,no,5212,2,1
no,monthly,54,18,520,developer,no,5213,0,1
no,monthly,68,6,692,engineering manager,no,5214,2,2
yes,monthly,92,1,1125,designer,yes,5215,2,1
yes,monthly,27,0,910,marketer,no,5216,2,1
no,annual,105,2,269,developer,no,5217,2,1
yes,annual,11,0,209,developer,no,5218,2,1
no,annual,16,7,152,engineering manager,yes,5219,2,2
no,monthly,81,10,695,product manager,yes,5220,2,0
no,monthly,17,13,327,developer,yes,5221,2,1
yes,monthly,26,1,118,product manager,yes,5222,2,0
no,monthly,38,11,138,developer,no,5223,2,1
yes,monthly,50,8,857,sales,yes,5224,2,1
no,annual,10,3,977,product manager,no,5225,2,0
no,monthly,127,10,800,product manager,no,5226,0,0
no,monthly,36,19,498,engineering manager,no,5227,0,2
yes,annual,68,11,161,product manager,no,5228,2,0
no,monthly,131,4,843,engineering manager,yes,5229,2,2
no,monthly,116,20,167,engineering manager,yes,5230,0,2
no,annual,135,14,569,developer,yes,5231,0,1
yes,monthly,34,0,597,sales,no,5232,2,1
no,monthly,79,7,863,product manager,no,5233,2,0
no,annual,41,18,313,engineering manager,yes,5234,0,2
no,monthly,61,19,519,developer,no,5235,0,1
no,monthly,68,3,178,developer,no,5236,2,1
no,monthly,39,13,1087,product manager,no,5237,2,0
no,annual,55,19,587,product manager,no,5238,0,0
yes,monthly,95,6,559,marketer,yes,5239,2,1
no,monthly,140,1,196,engineering manager,yes,5240,2,2
no,annual,65,0,281,developer,no,5241,2,1
no,annual,117,16,526,engineering manager,no,5242,0,2
no,monthly,91,1,1148,engineering manager,yes,5243,2,2
no,monthly,21,15,503,product manager,no,5244,0,0
no,monthly,64,19,36,product manager,no,5245,0,0
no,monthly,65,6,313,developer,no,5246,2,1
no,annual,133,15,926,developer,yes,5247,0,1
no,annual,120,2,947,engineering manager,yes,5248,2,2
yes,monthly,75,5,217,product manager,no,5249,2,0
no,annual,30,15,1041,engineering manager,yes,5250,0,2
yes,monthly,5,3,154,product manager,no,5251,2,0
no,monthly,17,20,325,developer,yes,5252,0,1
no,annual,104,11,742,developer,no,5253,0,1
no,monthly,5,10,604,product manager,yes,5254,2,0
no,annual,7,12,145,product manager,no,5255,2,0
no,monthly,110,10,693,product manager,yes,5256,0,0
no,monthly,122,19,81,product manager,yes,5257,0,0
no,annual,11,12,306,engineering manager,no,5258,2,2
no,annual,63,20,1156,product manager,no,5259,0,0
yes,annual,4,11,994,marketer,no,5260,2,1
no,monthly,96,7,302,developer,yes,5261,2,1
yes,monthly,36,8,54,marketer,no,5262,2,1
no,monthly,11,4,179,developer,no,5263,2,1
yes,monthly,32,4,180,developer,no,5264,2,1
no,monthly,132,19,804,product manager,no,5265,0,0
no,monthly,127,18,973,engineering manager,yes,5266,0,2
yes,annual,27,8,152,developer,no,5267,2,1
