index,title,release_year,score,number_of_votes,duration,main_genre,main_production,combined_text,clean_text,cluster
257,Wish Dragon,2021,7.2,24712,99,fantasy,CN,Wish Dragon fantasy CN,wish dragon fantasi cn,0
258,Mom,2017,7.2,10320,147,crime,IN,Mom crime IN,mom crime,0
259,The Professor and the Madman,2019,7.2,44418,124,thriller,US,The Professor and the Madman thriller US,professor madman thriller us,1
260,Kabir Singh,2019,7.2,30949,172,drama,IN,Kabir Singh drama IN,kabir singh drama,3
261,Dolemite Is My Name,2019,7.2,59836,118,comedy,US,Dolemite Is My Name comedy US,dolemit name comedi us,2
262,In the Line of Fire,1993,7.2,101939,128,drama,US,In the Line of Fire drama US,line fire drama us,3
263,The Witcher: Nightmare of the Wolf,2021,7.2,41508,83,fantasy,PL,The Witcher: Nightmare of the Wolf fantasy PL,witcher nightmar wolf fantasi pl,0
264,Ittefaq,2017,7.2,12095,107,thriller,IN,Ittefaq thriller IN,ittefaq thriller,1
265,The Tinder Swindler,2022,7.2,57606,114,crime,GB,The Tinder Swindler crime GB,tinder swindler crime gb,0
266,First They Killed My Father,2017,7.2,17871,136,drama,KH,First They Killed My Father drama KH,first kill father drama kh,3
267,Don't Look Up,2021,7.2,498447,138,scifi,US,Don't Look Up scifi US,look scifi us,0
268,Wazir,2016,7.2,18681,103,thriller,IN,Wazir thriller IN,wazir thriller,1
269,Gabbar Is Back,2015,7.2,24676,130,drama,IN,Gabbar Is Back drama IN,gabbar back drama,3
270,Fyre,2019,7.2,44715,98,documentary,US,Fyre documentary US,fyre documentari us,3
271,Steve Jobs,2015,7.2,166288,122,drama,GB,Steve Jobs drama GB,steve job drama gb,3
272,Shooter,2007,7.2,329417,124,thriller,US,Shooter thriller US,shooter thriller us,1
273,The Butler,2013,7.2,114013,132,drama,US,The Butler drama US,butler drama us,3
274,The Siege of Jadotville,2016,7.2,38308,108,thriller,IE,The Siege of Jadotville thriller IE,sieg jadotvil thriller ie,1
275,Closer,2004,7.2,215678,94,drama,GB,Closer drama GB,closer drama gb,3
276,Private Life,2018,7.2,19023,123,drama,US,Private Life drama US,privat life drama us,3
277,American Murder: The Family Next Door,2020,7.2,26355,83,crime,US,American Murder: The Family Next Door crime US,american murder famili next door crime us,0
278,St. Vincent,2014,7.2,102103,102,comedy,US,St. Vincent comedy US,st vincent comedi us,2
279,A River Runs Through It,1992,7.2,59086,123,drama,US,A River Runs Through It drama US,river run drama us,3
280,The Patriot,2000,7.2,270231,165,drama,DE,The Patriot drama DE,patriot drama de,3
281,Five Feet Apart,2019,7.2,61878,116,romance,US,Five Feet Apart romance US,five feet apart romanc us,4
282,Michael Clayton,2007,7.2,163878,120,thriller,US,Michael Clayton thriller US,michael clayton thriller us,1
283,The Edge of Democracy,2019,7.2,14605,121,documentary,BR,The Edge of Democracy documentary BR,edg democraci documentari br,0
284,Paddington,2014,7.2,111092,96,comedy,FR,Paddington comedy FR,paddington comedi fr,2
285,Wedding Association,2013,7.1,22186,106,comedy,XX,Wedding Association comedy XX,wed associ comedi xx,2
286,Let Me In,2010,7.1,120208,116,horror,GB,Let Me In horror GB,let horror gb,0
287,Raajneeti,2010,7.1,17555,167,drama,IN,Raajneeti drama IN,raajneeti drama,3
288,Body of Lies,2008,7.1,224896,128,drama,GB,Body of Lies drama GB,bodi lie drama gb,3
289,The Forgotten Battle,2020,7.1,26368,124,drama,LT,The Forgotten Battle drama LT,forgotten battl drama lt,3
290,Knock Down the House,2019,7.1,12418,86,documentary,US,Knock Down the House documentary US,knock hous documentari us,3
291,The Call,2020,7.1,29450,112,thriller,KR,The Call thriller KR,call thriller kr,1
292,Forgetting Sarah Marshall,2008,7.1,280121,111,comedy,US,Forgetting Sarah Marshall comedy US,forget sarah marshal comedi us,2
293,The Railway Man,2013,7.1,39743,116,drama,GB,The Railway Man drama GB,railway man drama gb,3
294,The Great Hack,2019,7.1,22838,114,documentary,US,The Great Hack documentary US,great hack documentari us,3
295,Paddleton,2019,7.1,13419,89,drama,US,Paddleton drama US,paddleton drama us,3
296,Desperado,1995,7.1,183638,104,thriller,US,Desperado thriller US,desperado thriller us,1
297,Gantz:O,2016,7.1,14501,95,animation,JP,Gantz:O animation JP,gantz anim jp,0
298,The Ring,2002,7.1,341888,111,horror,JP,The Ring horror JP,ring horror jp,0
299,Margin Call,2011,7.1,125883,107,thriller,US,Margin Call thriller US,margin call thriller us,1
300,Copenhagen,2014,7.1,13135,98,drama,US,Copenhagen drama US,copenhagen drama us,3
301,Black Mirror: Bandersnatch,2018,7.1,123377,90,scifi,GB,Black Mirror: Bandersnatch scifi GB,black mirror bandersnatch scifi gb,0
302,Metallica: Through the Never,2013,7.1,17433,93,musical,US,Metallica: Through the Never musical US,metallica never music us,3
303,Seven Years in Tibet,1997,7.1,141308,136,drama,US,Seven Years in Tibet drama US,seven year tibet drama us,3
304,Girl,2018,7.1,14046,105,drama,NL,Girl drama NL,girl drama nl,3
305,Kung Fu Panda 3,2016,7.1,152791,95,comedy,US,Kung Fu Panda 3 comedy US,kung fu panda comedi us,2
306,To All the Boys I've Loved Before,2018,7.1,101175,100,romance,US,To All the Boys I've Loved Before romance US,boy love romanc us,4
307,Arthur Christmas,2011,7.1,58296,97,drama,GB,Arthur Christmas drama GB,arthur christma drama gb,3
308,Trailer Park Boys: The Movie,2006,7.1,12831,95,comedy,CA,Trailer Park Boys: The Movie comedy CA,trailer park boy movi comedi ca,2
309,Karthik Calling Karthik,2010,7.1,11944,135,thriller,IN,Karthik Calling Karthik thriller IN,karthik call karthik thriller,1
310,The White Tiger,2021,7.1,58190,125,drama,IN,The White Tiger drama IN,white tiger drama,3
311,Shootout at Lokhandwala,2007,7.1,10139,145,crime,IN,Shootout at Lokhandwala crime IN,shootout lokhandwala crime,0
312,The Devil All the Time,2020,7.1,122321,138,drama,US,The Devil All the Time drama US,devil time drama us,3
313,Tangerine,2015,7.1,31385,87,comedy,US,Tangerine comedy US,tangerin comedi us,2
314,The Danish Girl,2015,7.1,180805,119,drama,DE,The Danish Girl drama DE,danish girl drama de,3
315,The Unforgivable,2021,7.1,101975,112,drama,DE,The Unforgivable drama DE,unforgiv drama de,3
316,Phir Hera Pheri,2006,7.1,22505,155,comedy,IN,Phir Hera Pheri comedy IN,phir hera pheri comedi,2
317,War Dogs,2016,7.1,208185,114,crime,US,War Dogs crime US,war dog crime us,0
318,The Dig,2021,7.1,71915,112,drama,GB,The Dig drama GB,dig drama gb,3
319,Blade,1998,7.1,267181,120,action,US,Blade action US,blade action us,0
320,Luck by Chance,2009,7.1,10206,155,romance,IN,Luck by Chance romance IN,luck chanc romanc,4
321,Namastey London,2007,7.1,21745,131,comedy,IN,Namastey London comedy IN,namastey london comedi,2
322,Don,2006,7.1,36836,178,thriller,IN,Don thriller IN,thriller,1
323,Don 2,2011,7.1,52338,139,action,DE,Don 2 action DE,action de,0
324,Main Hoon Na,2004,7.0,35142,179,drama,IN,Main Hoon Na drama IN,main hoon na drama,3
325,Gangubai Kathiawadi,2022,7.0,44045,157,drama,IN,Gangubai Kathiawadi drama IN,gangubai kathiawadi drama,3
326,Croupier,1998,7.0,21382,94,thriller,FR,Croupier thriller FR,croupier thriller fr,1
327,Pieces of a Woman,2020,7.0,47795,127,drama,HU,Pieces of a Woman drama HU,piec woman drama hu,3
328,Raw,2016,7.0,72460,98,horror,BE,Raw horror BE,raw horror,0
329,Loving,2016,7.0,34139,123,drama,GB,Loving drama GB,love drama gb,3
330,Harold & Kumar Go to White Castle,2004,7.0,193053,88,comedy,US,Harold & Kumar Go to White Castle comedy US,harold kumar go white castl comedi us,2
331,Haseen Dillruba,2021,7.0,25771,135,drama,IN,Haseen Dillruba drama IN,haseen dillruba drama,3
332,Rose Island,2020,7.0,20019,117,drama,IT,Rose Island drama IT,rose island drama,3
333,Ferry,2021,7.0,10748,106,drama,NL,Ferry drama NL,ferri drama nl,3
334,Handsome Devil,2017,7.0,13708,95,drama,IE,Handsome Devil drama IE,handsom devil drama ie,3
335,Torbaaz,2020,7.0,17828,132,drama,IN,Torbaaz drama IN,torbaaz drama,3
336,Ip Man 3,2015,7.0,54128,105,drama,HK,Ip Man 3 drama HK,ip man drama hk,3
337,The Foreigner,2017,7.0,112487,113,thriller,IN,The Foreigner thriller IN,foreign thriller,1
338,Mirai,2018,7.0,14983,98,fantasy,JP,Mirai fantasy JP,mirai fantasi jp,0
339,Gaga: Five Foot Two,2017,7.0,12825,100,musical,US,Gaga: Five Foot Two musical US,gaga five foot two music us,3
340,The Christmas Chronicles,2018,7.0,71182,104,fantasy,US,The Christmas Chronicles fantasy US,christma chronicl fantasi us,0
341,Sarkar,2018,7.0,18453,164,drama,IN,Sarkar drama IN,sarkar drama,3
342,Rambo,2008,7.0,228799,92,thriller,US,Rambo thriller US,rambo thriller us,1
343,Dil Dhadakne Do,2015,7.0,17149,170,drama,IN,Dil Dhadakne Do drama IN,dil dhadakn drama,3
344,Soul Surfer,2011,7.0,49101,112,drama,US,Soul Surfer drama US,soul surfer drama us,3
345,Happy Gilmore,1996,7.0,217534,92,comedy,US,Happy Gilmore comedy US,happi gilmor comedi us,2
346,Den of Thieves,2018,7.0,107701,140,thriller,US,Den of Thieves thriller US,den thiev thriller us,1
347,The Zookeeper's Wife,2017,7.0,42808,122,drama,GB,The Zookeeper's Wife drama GB,zookeep wife drama gb,3
348,The Platform,2019,7.0,207877,94,horror,ES,The Platform horror ES,platform horror es,0
349,Public Enemies,2009,7.0,297525,143,crime,US,Public Enemies crime US,public enemi crime us,0
350,Ip Man 4: The Finale,2019,7.0,30694,107,drama,CN,Ip Man 4: The Finale drama CN,ip man final drama cn,3
351,John Q,2002,7.0,131999,116,drama,US,John Q drama US,john q drama us,3
352,Fashion,2008,6.9,12468,167,romance,IN,Fashion romance IN,fashion romanc,4
353,Ma Rainey's Black Bottom,2020,6.9,50275,94,musical,US,Ma Rainey's Black Bottom musical US,rainey black bottom music us,3
354,Any Given Sunday,1999,6.9,118479,162,drama,US,Any Given Sunday drama US,given sunday drama us,3
355,The Long Riders,1980,6.9,11329,99,western,US,The Long Riders western US,long rider western us,3
356,Get on Up,2014,6.9,24456,139,drama,US,Get on Up drama US,get drama us,3
357,Fukrey,2013,6.9,11656,137,romance,IN,Fukrey romance IN,fukrey romanc,4
358,Chup Chup Ke,2006,6.9,10528,165,comedy,IN,Chup Chup Ke comedy IN,chup chup ke comedi,2
359,Then Came You,2019,6.9,12356,93,comedy,US,Then Came You comedy US,came comedi us,2
360,The Wolf's Call,2019,6.9,17236,115,thriller,FR,The Wolf's Call thriller FR,wolf call thriller fr,1
361,Cloudy with a Chance of Meatballs,2009,6.9,226225,90,animation,US,Cloudy with a Chance of Meatballs animation US,cloudi chanc meatbal anim us,3
362,Our Souls at Night,2017,6.9,13360,101,drama,US,Our Souls at Night drama US,soul night drama us,3
363,Chandigarh Kare Aashiqui,2021,6.9,12303,117,crime,IN,Chandigarh Kare Aashiqui crime IN,chandigarh kare aashiqui crime,0
364,Welcome,2007,6.9,21799,160,romance,IN,Welcome romance IN,welcom romanc,4
365,Everybody Knows,2018,6.9,34009,132,drama,IT,Everybody Knows drama IT,everybodi know drama,3
366,The Meyerowitz Stories (New and Selected),2017,6.9,47971,112,drama,US,The Meyerowitz Stories (New and Selected) drama US,meyerowitz stori new select drama us,3
367,I Don't Feel at Home in This World Anymore,2017,6.9,55549,93,drama,US,I Don't Feel at Home in This World Anymore drama US,feel home world anymor drama us,3
368,The Highwaymen,2019,6.9,88714,132,thriller,US,The Highwaymen thriller US,highwaymen thriller us,1
369,Legend,2015,6.9,175273,132,thriller,US,Legend thriller US,legend thriller us,1
370,AK vs AK,2020,6.9,14048,108,drama,IN,AK vs AK drama IN,ak vs ak drama,3
371,My Girl,1991,6.9,79800,103,comedy,US,My Girl comedy US,girl comedi us,2
372,Amanda Knox,2016,6.9,23969,92,crime,DK,Amanda Knox crime DK,amanda knox crime dk,0
373,2 States,2014,6.9,25344,149,comedy,IN,2 States comedy IN,state comedi,2
374,The Power of the Dog,2021,6.9,158487,126,drama,CA,The Power of the Dog drama CA,power dog drama ca,3
375,The Half of It,2020,6.9,34959,104,comedy,US,The Half of It comedy US,half comedi us,2
376,Outlaw King,2018,6.9,69834,121,drama,GB,Outlaw King drama GB,outlaw king drama gb,3
377,Mary Kom,2014,6.9,10656,122,drama,IN,Mary Kom drama IN,mari kom drama,3
378,Suffragette,2015,6.9,41529,106,drama,FR,Suffragette drama FR,suffragett drama fr,3
379,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82623,100,fantasy,US,Legend of the Guardians: The Owls of Ga'Hoole fantasy US,legend guardian owl ga hool fantasi us,0
380,Christine,2016,6.9,14977,115,drama,US,Christine drama US,christin drama us,3
381,The Night Comes for Us,2018,6.9,25500,121,thriller,ID,The Night Comes for Us thriller ID,night come us thriller id,1
382,The Trip,2021,6.9,19706,113,comedy,NO,The Trip comedy NO,trip comedi,2
383,The Dirt,2019,6.9,47603,108,drama,US,The Dirt drama US,dirt drama us,3
384,Top Gun,1986,6.9,329656,110,drama,US,Top Gun drama US,top gun drama us,3
385,Radhe Shyam,2022,6.9,21328,138,romance,IN,Radhe Shyam romance IN,radh shyam romanc,4
386,Sorry to Bother You,2018,6.9,75653,111,fantasy,US,Sorry to Bother You fantasy US,sorri bother fantasi us,0
