Name EN,Name CN,combined_text,cleaned_text,Cluster,Distance_to_Centroid
Frogger 2 (USA) (Proto) (1999-06-xx) (MS4),青蛙过河2,Frogger 2 (USA) (Proto) (1999-06-xx) (MS4) 青蛙过河2,frogger usa proto xx ms 青蛙过河,5,0.986000780024993
Frogger 2 (USA) (Proto) (1999-06-xx),青蛙过河2,Frogger 2 (USA) (Proto) (1999-06-xx) 青蛙过河2,frogger usa proto xx 青蛙过河,5,0.9829015971441054
Frogger 2 (USA) (Proto) (1999-12-01),青蛙过河2,Frogger 2 (USA) (Proto) (1999-12-01) 青蛙过河2,frogger usa proto 青蛙过河,5,0.9819945162490084
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),不可思议的迷宫-风来的西林2-鬼袭来!西林城!,Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan) 不可思议的迷宫-风来的西林2-鬼袭来!西林城!,fushigi dungeon fuurai shiren oni shuurai shiren jou japan 不可思议的迷宫风来的西林鬼袭来西林城,7,0.9971915205517239
G.A.S.P!! Fighters' NEXTream (Europe),死亡格斗,G.A.S.P!! Fighters' NEXTream (Europe) 死亡格斗,gasp fighters nextream europe 死亡格斗,1,0.9944001280164801
G.A.S.P!! Fighters' NEXTream (Japan),死亡格斗,G.A.S.P!! Fighters' NEXTream (Japan) 死亡格斗,gasp fighters nextream japan 死亡格斗,7,0.990635320252544
GameBooster 64 (Europe) (v1.1) (Unl),GameBooster64,GameBooster 64 (Europe) (v1.1) (Unl) GameBooster64,gamebooster europe v unl gamebooster,1,0.9916700429902671
GameBooster 64 (USA) (v1.1) (Unl),GameBooster64,GameBooster 64 (USA) (v1.1) (Unl) GameBooster64,gamebooster usa v unl gamebooster,5,0.9949203798305865
GameShark Pro (USA) (v2.0) (Unl),GameSharkPro,GameShark Pro (USA) (v2.0) (Unl) GameSharkPro,gameshark pro usa v unl gamesharkpro,5,0.9932812211897505
GameShark Pro (USA) (v3.3) (Unl),GameSharkPro,GameShark Pro (USA) (v3.3) (Unl) GameSharkPro,gameshark pro usa v unl gamesharkpro,5,0.9932812211897505
Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),大盗伍佑卫门-道中除妖记,Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan) 大盗伍佑卫门-道中除妖记,ganbare goemon dero dero douchuu obake tenkomori japan 大盗伍佑卫门道中除妖记,7,0.9948620761788617
Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),大盗伍佑卫门-桃山幕府记,Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan) 大盗伍佑卫门-桃山幕府记,ganbare goemon neo momoyama bakufu odori japan 大盗伍佑卫门桃山幕府记,7,0.993650031132236
Ganbare! Nippon! Olympics 2000 (Japan),加油!日本!奥运2000,Ganbare! Nippon! Olympics 2000 (Japan) 加油!日本!奥运2000,ganbare nippon olympics japan 加油日本奥运,7,0.9898776214699309
Gauntlet Legends (Europe),圣铠传说,Gauntlet Legends (Europe) 圣铠传说,gauntlet legends europe 圣铠传说,1,0.992224502673477
Gauntlet Legends (Japan),圣铠传说,Gauntlet Legends (Japan) 圣铠传说,gauntlet legends japan 圣铠传说,7,0.9875848101486215
Gauntlet Legends (USA),圣铠传说,Gauntlet Legends (USA) 圣铠传说,gauntlet legends usa 圣铠传说,5,0.9936622470603892
Gauntlet Legends (USA) (LodgeNet),圣铠传说,Gauntlet Legends (USA) (LodgeNet) 圣铠传说,gauntlet legends usa lodgenet 圣铠传说,5,0.9863070122103865
Getter Love!! - Cho Renai Party Game Tanjou (Japan),恋爱告白,Getter Love!! - Cho Renai Party Game Tanjou (Japan) 恋爱告白,getter love cho renai party game tanjou japan 恋爱告白,7,0.9934423484247061
"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)",杰克龙3,"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It) 杰克龙3",gex deep cover gecko europe enesit 杰克龙,1,0.9908652838866351
"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)",杰克龙3,"Gex 3 - Deep Cover Gecko (Europe) (Fr,De) 杰克龙3",gex deep cover gecko europe frde 杰克龙,1,0.992823325737344
Gex 3 - Deep Cover Gecko (USA),杰克龙3,Gex 3 - Deep Cover Gecko (USA) 杰克龙3,gex deep cover gecko usa 杰克龙,5,0.9963333411422297
Gex 64 - Enter the Gecko (Europe),杰克龙64,Gex 64 - Enter the Gecko (Europe) 杰克龙64,gex enter gecko europe 杰克龙,1,0.9914124944661071
Gex 64 - Enter the Gecko (USA),杰克龙64,Gex 64 - Enter the Gecko (USA) 杰克龙64,gex enter gecko usa 杰克龙,5,0.9955116880243334
Glover (USA) (1998-09-04) (Beta),手套小子,Glover (USA) (1998-09-04) (Beta) 手套小子,glover usa beta 手套小子,5,0.9733396961969033
"Glover (USA) (En,Fr,De) (Limited Run Games)",手套小子,"Glover (USA) (En,Fr,De) (Limited Run Games) 手套小子",glover usa enfrde limited run games 手套小子,5,0.9910176222625459
"Glover (Europe) (En,Fr,De)",手套小子,"Glover (Europe) (En,Fr,De) 手套小子",glover europe enfrde 手套小子,1,0.9674902111681523
Glover (USA),手套小子,Glover (USA) 手套小子,glover usa 手套小子,5,0.985903055107112
Glover (USA) (1998-07-16) (Beta) [b],手套小子,Glover (USA) (1998-07-16) (Beta) [b] 手套小子,glover usa beta b 手套小子,5,0.9733396961969033
Glover 2 (USA) (Proto 2),手套小子2,Glover 2 (USA) (Proto 2) 手套小子2,glover usa proto 手套小子,5,0.9774655540511252
Glover 2 (USA) (Proto 1),手套小子2,Glover 2 (USA) (Proto 1) 手套小子2,glover usa proto 手套小子,5,0.9774655540511252
Goemon - Mononoke Sugoroku (Japan),大盗伍佑卫门-魔法双六,Goemon - Mononoke Sugoroku (Japan) 大盗伍佑卫门-魔法双六,goemon mononoke sugoroku japan 大盗伍佑卫门魔法双六,7,0.9906508212363723
Goemon's Great Adventure (USA),大盗伍佑卫门2,Goemon's Great Adventure (USA) 大盗伍佑卫门2,goemons great adventure usa 大盗伍佑卫门,5,0.9953402779383138
Golden Nugget 64 (USA),职业赌场64,Golden Nugget 64 (USA) 职业赌场64,golden nugget usa 职业赌场,5,0.9963150150873785
GoldenEye 007 (Europe),007-黄金眼,GoldenEye 007 (Europe) 007-黄金眼,goldeneye europe 黄金眼,1,0.9874514139928993
GoldenEye 007 (Japan),007-黄金眼,GoldenEye 007 (Japan) 007-黄金眼,goldeneye japan 黄金眼,7,0.9805661701019424
GoldenEye 007 (USA),007-黄金眼,GoldenEye 007 (USA) 007-黄金眼,goldeneye usa 黄金眼,5,0.9931664466267086
"GoldenEye 007 (USA, Europe) (Switch Online)",007-黄金眼,"GoldenEye 007 (USA, Europe) (Switch Online) 007-黄金眼",goldeneye usa europe switch online 黄金眼,1,0.9931400719597724
GoldenEye 007 (Japan) (Switch Online),007-黄金眼,GoldenEye 007 (Japan) (Switch Online) 007-黄金眼,goldeneye japan switch online 黄金眼,7,0.9879580349258834
"GT 64 - Championship Edition (Europe) (En,Fr,De)",GT64-锦标赛版,"GT 64 - Championship Edition (Europe) (En,Fr,De) GT64-锦标赛版",gt championship edition europe enfrde gt锦标赛版,1,0.9750750815842695
GT 64 - Championship Edition (USA),GT64-锦标赛版,GT 64 - Championship Edition (USA) GT64-锦标赛版,gt championship edition usa gt锦标赛版,5,0.9927832930753828
GT 64 - Championship Edition (USA) (Beta) (1998-05-25),GT64-锦标赛版,GT 64 - Championship Edition (USA) (Beta) (1998-05-25) GT64-锦标赛版,gt championship edition usa beta gt锦标赛版,5,0.9837286101453547
Hamster Monogatari 64 (Japan),仓鼠物语64,Hamster Monogatari 64 (Japan) 仓鼠物语64,hamster monogatari japan 仓鼠物语,7,0.9869414805536227
Harukanaru Augusta - Masters '98 (Japan),遥远的奥古斯塔-大师赛'98,Harukanaru Augusta - Masters '98 (Japan) 遥远的奥古斯塔-大师赛'98,harukanaru augusta masters japan 遥远的奥古斯塔大师赛,7,0.9916338335822531
Harvest Moon 64 (USA),牧场物语64,Harvest Moon 64 (USA) 牧场物语64,harvest moon usa 牧场物语,5,0.9956337364742776
Heiwa Pachinko World 64 (Japan),平和柏青哥世界64,Heiwa Pachinko World 64 (Japan) 平和柏青哥世界64,heiwa pachinko world japan 平和柏青哥世界,4,0.9864141796032138
"Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)",大力士-传奇旅程,"Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl) 大力士-传奇旅程",hercules legendary journeys europe enfrdeesitnl 大力士传奇旅程,1,0.9870530241093396
Hercules - The Legendary Journeys (USA),大力士-传奇旅程,Hercules - The Legendary Journeys (USA) 大力士-传奇旅程,hercules legendary journeys usa 大力士传奇旅程,5,0.9928149850862448
Hercules - The Legendary Journeys (USA) (Beta 1),大力士-传奇旅程,Hercules - The Legendary Journeys (USA) (Beta 1) 大力士-传奇旅程,hercules legendary journeys usa beta 大力士传奇旅程,5,0.9835481841652735
Hercules - The Legendary Journeys (USA) (Beta 2),大力士-传奇旅程,Hercules - The Legendary Journeys (USA) (Beta 2) 大力士-传奇旅程,hercules legendary journeys usa beta 大力士传奇旅程,5,0.9835481841652735
Hexen (Europe),毁灭巫师,Hexen (Europe) 毁灭巫师,hexen europe 毁灭巫师,1,0.988602304258224
Hexen (France),毁灭巫师,Hexen (France) 毁灭巫师,hexen france 毁灭巫师,5,1.0008912583497764
Hexen (Germany),毁灭巫师,Hexen (Germany) 毁灭巫师,hexen germany 毁灭巫师,5,0.99966745803022
Hexen (Japan),毁灭巫师,Hexen (Japan) 毁灭巫师,hexen japan 毁灭巫师,7,0.9834330799208684
Hexen (USA),毁灭巫师,Hexen (USA) 毁灭巫师,hexen usa 毁灭巫师,5,0.9915048274804006
"Hey You, Pikachu! (USA)",你好-皮卡丘!,"Hey You, Pikachu! (USA) 你好-皮卡丘!",hey pikachu usa 你好皮卡丘,5,0.9961725126291499
Hiryuu no Ken Twin (Japan),飞龙之拳,Hiryuu no Ken Twin (Japan) 飞龙之拳,hiryuu ken twin japan 飞龙之拳,7,0.9893372658100364
Holy Magic Century (Europe),圣魔世纪,Holy Magic Century (Europe) 圣魔世纪,holy magic century europe 圣魔世纪,1,0.9946102246783647
Holy Magic Century (France),圣魔世纪,Holy Magic Century (France) 圣魔世纪,holy magic century france 圣魔世纪,5,1.0015496243192883
Holy Magic Century (Germany),圣魔世纪,Holy Magic Century (Germany) 圣魔世纪,holy magic century germany 圣魔世纪,5,1.000677469024216
Hoshi no Kirby 64 (Japan),星之卡比64,Hoshi no Kirby 64 (Japan) 星之卡比64,hoshi kirby japan 星之卡比,7,0.9862419282740045
Hoshi no Kirby 64 (Japan) (Rev 1),星之卡比64,Hoshi no Kirby 64 (Japan) (Rev 1) 星之卡比64,hoshi kirby japan rev 星之卡比,9,0.9544412007730579
Hoshi no Kirby 64 (Japan) (Rev 2),星之卡比64,Hoshi no Kirby 64 (Japan) (Rev 2) 星之卡比64,hoshi kirby japan rev 星之卡比,9,0.9544412007730579
Hoshi no Kirby 64 (Japan) (Rev 3),星之卡比64,Hoshi no Kirby 64 (Japan) (Rev 3) 星之卡比64,hoshi kirby japan rev 星之卡比,9,0.9544412007730579
"Hot Wheels - Turbo Racing (Europe) (En,Fr,De)",风火轮-涡轮赛车,"Hot Wheels - Turbo Racing (Europe) (En,Fr,De) 风火轮-涡轮赛车",hot wheels turbo racing europe enfrde 风火轮涡轮赛车,1,0.9769248598341688
Hot Wheels - Turbo Racing (USA),风火轮-涡轮赛车,Hot Wheels - Turbo Racing (USA) 风火轮-涡轮赛车,hot wheels turbo racing usa 风火轮涡轮赛车,5,0.9945555521441339
HSV Adventure Racing! (Australia),HSV冒险赛车,HSV Adventure Racing! (Australia) HSV冒险赛车,hsv adventure racing australia hsv冒险赛车,5,1.002475281570164
Human Grand Prix - The New Generation (Japan),休曼GP赛车,Human Grand Prix - The New Generation (Japan) 休曼GP赛车,human grand prix new generation japan 休曼gp赛车,7,0.9899360478100634
"Hybrid Heaven (Europe) (En,Fr,De)",混沌天堂,"Hybrid Heaven (Europe) (En,Fr,De) 混沌天堂",hybrid heaven europe enfrde 混沌天堂,1,0.975065930539602
Hybrid Heaven (Japan),混沌天堂,Hybrid Heaven (Japan) 混沌天堂,hybrid heaven japan 混沌天堂,7,0.9879930216198168
Hybrid Heaven (USA),混沌天堂,Hybrid Heaven (USA) 混沌天堂,hybrid heaven usa 混沌天堂,5,0.9957025860719798
Hydro Thunder (Europe),雷霆快艇,Hydro Thunder (Europe) 雷霆快艇,hydro thunder europe 雷霆快艇,1,0.9921514371544743
Hydro Thunder (France),雷霆快艇,Hydro Thunder (France) 雷霆快艇,hydro thunder france 雷霆快艇,5,1.0002072815692036
Hydro Thunder (USA),雷霆快艇,Hydro Thunder (USA) 雷霆快艇,hydro thunder usa 雷霆快艇,5,0.9915301710828645
Hydro Thunder (USA) (LodgeNet),雷霆快艇,Hydro Thunder (USA) (LodgeNet) 雷霆快艇,hydro thunder usa lodgenet 雷霆快艇,5,0.9842496106107013
Hyper Olympics in Nagano 64 (Japan),长野冬季奥运会64,Hyper Olympics in Nagano 64 (Japan) 长野冬季奥运会64,hyper olympics nagano japan 长野冬季奥运会,7,0.9896803126995933
Ide Yosuke no Mahjong Juku (Japan),井出洋介的麻雀塾,Ide Yosuke no Mahjong Juku (Japan) 井出洋介的麻雀塾,ide yosuke mahjong juku japan 井出洋介的麻雀塾,7,0.9902360755044937
Iggy-kun no Bura Bura Poyon (Japan),伊基滚滚球,Iggy-kun no Bura Bura Poyon (Japan) 伊基滚滚球,iggykun bura bura poyon japan 伊基滚滚球,7,0.9937395798006956
Iggy's Reckin' Balls (Europe),伊基滚滚球,Iggy's Reckin' Balls (Europe) 伊基滚滚球,iggys reckin balls europe 伊基滚滚球,1,0.994656716612993
Iggy's Reckin' Balls (USA),伊基滚滚球,Iggy's Reckin' Balls (USA) 伊基滚滚球,iggys reckin balls usa 伊基滚滚球,5,0.9949443923496164
Iggy's Reckin' Balls (USA) (Beta),伊基滚滚球,Iggy's Reckin' Balls (USA) (Beta) 伊基滚滚球,iggys reckin balls usa beta 伊基滚滚球,5,0.9862740783645432
In-Fisherman - Bass Hunter 64 (Europe),巴斯鲈猎人64,In-Fisherman - Bass Hunter 64 (Europe) 巴斯鲈猎人64,infisherman bass hunter europe 巴斯鲈猎人,1,0.9944257742943634
In-Fisherman - Bass Hunter 64 (USA),巴斯鲈猎人64,In-Fisherman - Bass Hunter 64 (USA) 巴斯鲈猎人64,infisherman bass hunter usa 巴斯鲈猎人,5,0.9967578744006201
Indiana Jones and the Infernal Machine (USA),印第安纳琼斯与恶魔机器,Indiana Jones and the Infernal Machine (USA) 印第安纳琼斯与恶魔机器,indiana jones infernal machine usa 印第安纳琼斯与恶魔机器,5,0.9964268116011669
Indiana Jones and the Infernal Machine (Australia) (Proto),印第安纳琼斯与恶魔机器,Indiana Jones and the Infernal Machine (Australia) (Proto) 印第安纳琼斯与恶魔机器,indiana jones infernal machine australia proto 印第安纳琼斯与恶魔机器,5,1.0003218408639594
Indy Racing 2000 (USA),印地赛车2000,Indy Racing 2000 (USA) 印地赛车2000,indy racing usa 印地赛车,5,0.9923476855737261
International Superstar Soccer '98 (Europe),国际超级明星足球'98,International Superstar Soccer '98 (Europe) 国际超级明星足球'98,international superstar soccer europe 国际超级明星足球,1,0.9784964512819975
International Superstar Soccer '98 (USA),国际超级明星足球'98,International Superstar Soccer '98 (USA) 国际超级明星足球'98,international superstar soccer usa 国际超级明星足球,5,0.988918625366838
International Superstar Soccer '98 (Europe) (Beta) (1998-03-02),国际超级明星足球'98,International Superstar Soccer '98 (Europe) (Beta) (1998-03-02) 国际超级明星足球'98,international superstar soccer europe beta 国际超级明星足球,1,0.9753121189999769
"International Superstar Soccer 2000 (Europe) (En,De)",国际超级明星足球2000,"International Superstar Soccer 2000 (Europe) (En,De) 国际超级明星足球2000",international superstar soccer europe ende 国际超级明星足球,1,0.9803844593794342
"International Superstar Soccer 2000 (Europe) (Fr,It)",国际超级明星足球2000,"International Superstar Soccer 2000 (Europe) (Fr,It) 国际超级明星足球2000",international superstar soccer europe frit 国际超级明星足球,1,0.9836015849959696
"International Superstar Soccer 2000 (USA) (En,Es)",国际超级明星足球2000,"International Superstar Soccer 2000 (USA) (En,Es) 国际超级明星足球2000",international superstar soccer usa enes 国际超级明星足球,5,0.9893895761433913
"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1)",国际超级明星足球2000,"International Superstar Soccer 2000 (USA) (En,Es) (Rev 1) 国际超级明星足球2000",international superstar soccer usa enes rev 国际超级明星足球,5,0.9903787162349086
International Superstar Soccer 64 (Europe),国际超级明星足球64,International Superstar Soccer 64 (Europe) 国际超级明星足球64,international superstar soccer europe 国际超级明星足球,1,0.9784964512819975
International Superstar Soccer 64 (USA),国际超级明星足球64,International Superstar Soccer 64 (USA) 国际超级明星足球64,international superstar soccer usa 国际超级明星足球,5,0.988918625366838
"International Track & Field - Summer Games (Europe) (En,Fr,De)",国际田径-夏季运动会,"International Track & Field - Summer Games (Europe) (En,Fr,De) 国际田径-夏季运动会",international track field summer games europe enfrde 国际田径夏季运动会,1,0.9831134930015971
International Track & Field 2000 (USA),国际田径2000,International Track & Field 2000 (USA) 国际田径2000,international track field usa 国际田径,5,0.9962785275073649
Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan),系井重里的巴斯鲈钓No.1-决定版,Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan) 系井重里的巴斯鲈钓No.1-决定版,itoi shigesato bass tsuri kettei ban japan 系井重里的巴斯鲈钓no决定版,7,0.9949262149221154
J.League Dynamite Soccer 64 (Japan),J联盟火爆足球64,J.League Dynamite Soccer 64 (Japan) J联盟火爆足球64,jleague dynamite soccer japan j联盟火爆足球,7,0.9870425557713026
J.League Eleven Beat 1997 (Japan),Q版J联盟足球1997,J.League Eleven Beat 1997 (Japan) Q版J联盟足球1997,jleague eleven beat japan q版j联盟足球,7,0.9889842700707411
J.League Live 64 (Japan),J联盟足球64,J.League Live 64 (Japan) J联盟足球64,jleague live japan j联盟足球,7,0.9855117155908176
J.League Tactics Soccer (Japan),J联盟战术足球,J.League Tactics Soccer (Japan) J联盟战术足球,jleague tactics soccer japan j联盟战术足球,7,0.9864185067140437
J.League Tactics Soccer (Japan) (Rev 1),J联盟战术足球,J.League Tactics Soccer (Japan) (Rev 1) J联盟战术足球,jleague tactics soccer japan rev j联盟战术足球,9,0.9838177969563002
Jangou Simulation Mahjong Dou 64 (Japan),雀豪模拟-麻雀道64,Jangou Simulation Mahjong Dou 64 (Japan) 雀豪模拟-麻雀道64,jangou simulation mahjong dou japan 雀豪模拟麻雀道,7,0.9896635898423888
Jeopardy! (USA),危险边缘知识问答,Jeopardy! (USA) 危险边缘知识问答,jeopardy usa 危险边缘知识问答,5,0.9942328729022205
Jeremy McGrath Supercross 2000 (Europe),杰里米麦格拉思超级越野摩托赛2000,Jeremy McGrath Supercross 2000 (Europe) 杰里米麦格拉思超级越野摩托赛2000,jeremy mcgrath supercross europe 杰里米麦格拉思超级越野摩托赛,1,0.9932431323826584
Jeremy McGrath Supercross 2000 (USA),杰里米麦格拉思超级越野摩托赛2000,Jeremy McGrath Supercross 2000 (USA) 杰里米麦格拉思超级越野摩托赛2000,jeremy mcgrath supercross usa 杰里米麦格拉思超级越野摩托赛,5,0.9941272790270143
Jeremy McGrath Supercross 2000 (USA) (Beta),杰里米麦格拉思超级越野摩托赛2000,Jeremy McGrath Supercross 2000 (USA) (Beta) 杰里米麦格拉思超级越野摩托赛2000,jeremy mcgrath supercross usa beta 杰里米麦格拉思超级越野摩托赛,5,0.9854151834111524
"Jet Force Gemini (Europe) (En,Fr,De,Es)",喷射力量-双子星,"Jet Force Gemini (Europe) (En,Fr,De,Es) 喷射力量-双子星",jet force gemini europe enfrdees 喷射力量双子星,1,0.9881760130726644
Jet Force Gemini (USA),喷射力量-双子星,Jet Force Gemini (USA) 喷射力量-双子星,jet force gemini usa 喷射力量双子星,5,0.9942992816737711
Jet Force Gemini (USA) (Demo) (Kiosk),喷射力量-双子星,Jet Force Gemini (USA) (Demo) (Kiosk) 喷射力量-双子星,jet force gemini usa demo kiosk 喷射力量双子星,5,0.9942069147529511
Jikkyou G1 Stable (Japan),实况G1赛马,Jikkyou G1 Stable (Japan) 实况G1赛马,jikkyou g stable japan 实况g赛马,7,0.9867465951325795
Jikkyou G1 Stable (Japan) (Rev 1),实况G1赛马,Jikkyou G1 Stable (Japan) (Rev 1) 实况G1赛马,jikkyou g stable japan rev 实况g赛马,9,0.9792806868891999
Jikkyou J.League 1999 - Perfect Striker 2 (Japan),实况J联盟1999-最佳射手2,Jikkyou J.League 1999 - Perfect Striker 2 (Japan) 实况J联盟1999-最佳射手2,jikkyou jleague perfect striker japan 实况j联盟最佳射手,7,0.9832072858584472
Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev 1),实况J联盟1999-最佳射手2,Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev 1) 实况J联盟1999-最佳射手2,jikkyou jleague perfect striker japan rev 实况j联盟最佳射手,9,0.9847473169264008
Jikkyou J.League Perfect Striker (Japan),实况J联盟-最佳射手,Jikkyou J.League Perfect Striker (Japan) 实况J联盟-最佳射手,jikkyou jleague perfect striker japan 实况j联盟最佳射手,7,0.9832072858584472
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan),实况力量棒球基本版2001,Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) 实况力量棒球基本版2001,jikkyou powerful pro yakyuu basic ban japan 实况力量棒球基本版,0,0.8364794125794979
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1),实况力量棒球基本版2001,Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1) 实况力量棒球基本版2001,jikkyou powerful pro yakyuu basic ban japan rev 实况力量棒球基本版,0,0.8080095236133263
Jikkyou Powerful Pro Yakyuu 2000 (Japan),实况力量棒球2000,Jikkyou Powerful Pro Yakyuu 2000 (Japan) 实况力量棒球2000,jikkyou powerful pro yakyuu japan 实况力量棒球,0,0.3792422803908408
Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1),实况力量棒球2000,Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1) 实况力量棒球2000,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou Powerful Pro Yakyuu 4 (Japan),实况力量棒球4,Jikkyou Powerful Pro Yakyuu 4 (Japan) 实况力量棒球4,jikkyou powerful pro yakyuu japan 实况力量棒球,0,0.3792422803908408
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1),实况力量棒球4,Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1) 实况力量棒球4,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Beta) (1996-11-30),实况力量棒球4,Jikkyou Powerful Pro Yakyuu 4 (Japan) (Beta) (1996-11-30) 实况力量棒球4,jikkyou powerful pro yakyuu japan beta 实况力量棒球,0,0.5820129816035692
Jikkyou Powerful Pro Yakyuu 5 (Japan),实况力量棒球5,Jikkyou Powerful Pro Yakyuu 5 (Japan) 实况力量棒球5,jikkyou powerful pro yakyuu japan 实况力量棒球,0,0.3792422803908408
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2),实况力量棒球5,Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2) 实况力量棒球5,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 1),实况力量棒球5,Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 1) 实况力量棒球5,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou Powerful Pro Yakyuu 6 (Japan),实况力量棒球6,Jikkyou Powerful Pro Yakyuu 6 (Japan) 实况力量棒球6,jikkyou powerful pro yakyuu japan 实况力量棒球,0,0.3792422803908408
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 1),实况力量棒球6,Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 1) 实况力量棒球6,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2),实况力量棒球6,Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2) 实况力量棒球6,jikkyou powerful pro yakyuu japan rev 实况力量棒球,0,0.29856940148547234
Jikkyou World Soccer - World Cup France '98 (Japan),实况世界足球-法国世界杯'98,Jikkyou World Soccer - World Cup France '98 (Japan) 实况世界足球-法国世界杯'98,jikkyou world soccer world cup france japan 实况世界足球法国世界杯,4,0.9345934716667423
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 1),实况世界足球-法国世界杯'98,Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 1) 实况世界足球-法国世界杯'98,jikkyou world soccer world cup france japan rev 实况世界足球法国世界杯,4,0.933563573661956
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 2),实况世界足球-法国世界杯'98,Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 2) 实况世界足球-法国世界杯'98,jikkyou world soccer world cup france japan rev 实况世界足球法国世界杯,4,0.933563573661956
Jikkyou World Soccer 3 (Japan),实况世界足球3,Jikkyou World Soccer 3 (Japan) 实况世界足球3,jikkyou world soccer japan 实况世界足球,4,0.9699458842091884
Jikuu Senshi Turok (Japan),恐龙猎人,Jikuu Senshi Turok (Japan) 恐龙猎人,jikuu senshi turok japan 恐龙猎人,7,0.9902375892194345
Jinsei Game 64 (Japan),人生游戏64,Jinsei Game 64 (Japan) 人生游戏64,jinsei game japan 人生游戏,7,0.9859225742363068
"John Romero's Daikatana (Europe) (En,Fr,De)",大刀,"John Romero's Daikatana (Europe) (En,Fr,De) 大刀",john romeros daikatana europe enfrde 大刀,1,0.9790005874459878
John Romero's Daikatana (Japan),大刀,John Romero's Daikatana (Japan) 大刀,john romeros daikatana japan 大刀,7,0.9904449611356113
John Romero's Daikatana (USA),大刀,John Romero's Daikatana (USA) 大刀,john romeros daikatana usa 大刀,5,0.9969560401356539
Kakutou Denshou - F-Cup Maniax (Japan),格斗传承2,Kakutou Denshou - F-Cup Maniax (Japan) 格斗传承2,kakutou denshou fcup maniax japan 格斗传承,7,0.9918318552324986
Ken Griffey Jr.'s Slugfest (USA),小肯葛瑞菲棒球,Ken Griffey Jr.'s Slugfest (USA) 小肯葛瑞菲棒球,ken griffey jrs slugfest usa 小肯葛瑞菲棒球,5,0.9972038149052557
Killer Instinct Gold (Europe),杀手本能-黄金版,Killer Instinct Gold (Europe) 杀手本能-黄金版,killer instinct gold europe 杀手本能黄金版,1,0.9943062874317333
Killer Instinct Gold (USA),杀手本能-黄金版,Killer Instinct Gold (USA) 杀手本能-黄金版,killer instinct gold usa 杀手本能黄金版,5,0.9965915756909771
Killer Instinct Gold (USA) (Rev 1),杀手本能-黄金版,Killer Instinct Gold (USA) (Rev 1) 杀手本能-黄金版,killer instinct gold usa rev 杀手本能黄金版,9,0.9597745237895331
Killer Instinct Gold (USA) (Rev 2),杀手本能-黄金版,Killer Instinct Gold (USA) (Rev 2) 杀手本能-黄金版,killer instinct gold usa rev 杀手本能黄金版,9,0.9597745237895331
