Name EN,Name CN,text,Cluster
Mugen Senshi Valis - The Legend of a Fantasm Soldier (Japan),梦幻战士,Mugen Senshi Valis - The Legend of a Fantasm Soldier (Japan) 梦幻战士,2
Tenchi Muyou! Ryououki (Japan),天地无用！魉皇鬼,Tenchi Muyou! Ryououki (Japan) 天地无用！魉皇鬼,2
Advanced V.G. (Japan),少女格斗战,Advanced V.G. (Japan) 少女格斗战,2
Goetzendiener (Japan),偶像崇拜者,Goetzendiener (Japan) 偶像崇拜者,2
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT),龙珠 Z - 伟大的悟空传说,Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT) 龙珠 Z - 伟大的悟空传说,2
Ookami-teki Monshou - Crest of Wolf (Japan),狼的纹章,Ookami-teki Monshou - Crest of Wolf (Japan) 狼的纹章,2
Linda^3 (Japan) (Rev 2),琳达三次方,Linda^3 (Japan) (Rev 2) 琳达三次方,4
Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin),天外魔境 - 自来也,Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin) 天外魔境 - 自来也,2
Travel Eple (Japan),爱普尔之旅,Travel Eple (Japan) 爱普尔之旅,2
Blood Gear (Japan),血钢齿轮,Blood Gear (Japan) 血钢齿轮,2
Palladion - Auto Crusher Palladium (Japan),圣机帕拉迪昂 - 自动粉碎者​,Palladion - Auto Crusher Palladium (Japan) 圣机帕拉迪昂 - 自动粉碎者​,2
Star Breaker (Japan),星球破坏者,Star Breaker (Japan) 星球破坏者,2
Megami Paradise (Japan),女神天国,Megami Paradise (Japan) 女神天国,2
Valis II (Japan) (Alt 2),梦幻战士 2,Valis II (Japan) (Alt 2) 梦幻战士 2,2
Minesweeper (Japan),扫雷,Minesweeper (Japan) 扫雷,2
Red Alert (Japan),红色警戒,Red Alert (Japan) 红色警戒,2
L-Dis (Japan),埃尔迪斯,L-Dis (Japan) 埃尔迪斯,2
Puyo Puyo CD (Japan),噗哟噗哟 CD,Puyo Puyo CD (Japan) 噗哟噗哟 CD,2
Puyo Puyo CD Tsuu (Japan),噗哟噗哟 CD 2,Puyo Puyo CD Tsuu (Japan) 噗哟噗哟 CD 2,2
"Fantastic Night Dreams - Cotton (Japan) (En,Ja,Zh)",棉花小魔女,"Fantastic Night Dreams - Cotton (Japan) (En,Ja,Zh) 棉花小魔女",2
Patlabor - Chapter of Griffon (Japan),机动警察,Patlabor - Chapter of Griffon (Japan) 机动警察,2
Quest of Jongmaster - Janshin Densetsu (Japan),雀神伝说,Quest of Jongmaster - Janshin Densetsu (Japan) 雀神伝说,2
Ultra Box 3-gou (Japan),究极盒子3号,Ultra Box 3-gou (Japan) 究极盒子3号,2
Startling Odyssey II - Maryuu Sensou (Japan),惊心动魄的奥德赛 2 - 魔龙战争,Startling Odyssey II - Maryuu Sensou (Japan) 惊心动魄的奥德赛 2 - 魔龙战争,2
Hataraku Shoujo - Tekipaki Working Love (Japan),乐天少女俱乐部,Hataraku Shoujo - Tekipaki Working Love (Japan) 乐天少女俱乐部,2
De-Ja (Japan),DE·JA,De-Ja (Japan) DE·JA,2
Yamamura Misa Suspense - Kinsenka Kyouezara Satsujin Jiken (Japan),山村美纱推理游戏 - 金盏花京绘皿杀人事件,Yamamura Misa Suspense - Kinsenka Kyouezara Satsujin Jiken (Japan) 山村美纱推理游戏 - 金盏花京绘皿杀人事件,2
Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan),百物语 - 真实恐怖故事,Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan) 百物语 - 真实恐怖故事,2
Himitsu no Hanazono (Japan),秘密花园,Himitsu no Hanazono (Japan) 秘密花园,2
Top o Nerae! GunBuster Vol. 1 (Japan),飞跃巅峰！ GunBuster 1,Top o Nerae! GunBuster Vol. 1 (Japan) 飞跃巅峰！ GunBuster 1,2
Pastel Lime (Japan),魔法小天使琳,Pastel Lime (Japan) 魔法小天使琳,2
Ginga Fukei Densetsu Sapphire (Japan) (Reprint),银河妇警传说,Ginga Fukei Densetsu Sapphire (Japan) (Reprint) 银河妇警传说,2
Quiz no Hoshi - Star of Quiz (Japan),谜题之星,Quiz no Hoshi - Star of Quiz (Japan) 谜题之星,2
Quiz de Gakuensai (Japan),学园祭问答,Quiz de Gakuensai (Japan) 学园祭问答,2
Fushigi no Umi no Nadia - The Secret of Blue Water (Japan),蓝宝石之谜,Fushigi no Umi no Nadia - The Secret of Blue Water (Japan) 蓝宝石之谜,2
Magical Saurus Tour (Japan),神奇恐龙之旅,Magical Saurus Tour (Japan) 神奇恐龙之旅,2
Ultra Box 4-gou (Japan),究极盒子4号,Ultra Box 4-gou (Japan) 究极盒子4号,2
Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 7),天外魔境 - 自来也,Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 7) 天外魔境 - 自来也,4
Quiz Marugoto the World (Japan) (Rev 8),Marugoto世界问答,Quiz Marugoto the World (Japan) (Rev 8) Marugoto世界问答,4
Sotsugyou - Graduation (Japan) (Rev 1),卒业,Sotsugyou - Graduation (Japan) (Rev 1) 卒业,4
Tokimeki Memorial (Japan) (Rev 2) (FABT),心跳回忆,Tokimeki Memorial (Japan) (Rev 2) (FABT) 心跳回忆,4
Seiryuu Densetsu - Monbit (Japan) (Rev 1),圣龙传说,Seiryuu Densetsu - Monbit (Japan) (Rev 1) 圣龙传说,4
Seiryuu Densetsu - Monbit (Japan) (Rev 4),圣龙传说,Seiryuu Densetsu - Monbit (Japan) (Rev 4) 圣龙传说,4
Madou Monogatari I - Honoo no Sotsuenji (Japan),魔导物语 - 炎之卒园儿,Madou Monogatari I - Honoo no Sotsuenji (Japan) 魔导物语 - 炎之卒园儿,2
F1 Circus Special - Pole to Win (Japan) (FABT),F1竞技场 特别版,F1 Circus Special - Pole to Win (Japan) (FABT) F1竞技场 特别版,3
J. B. Harold Series 1 - Murder Club (Japan),刑事J.B.哈罗德 - 杀人俱乐部,J. B. Harold Series 1 - Murder Club (Japan) 刑事J.B.哈罗德 - 杀人俱乐部,2
Dragon Half (Japan),半龙少女,Dragon Half (Japan) 半龙少女,2
Uchuu Senkan Yamato (Japan),宇宙战舰大和号,Uchuu Senkan Yamato (Japan) 宇宙战舰大和号,2
Might and Magic III - Isles of Terra (Japan),魔法门 3 - 幻岛历险记,Might and Magic III - Isles of Terra (Japan) 魔法门 3 - 幻岛历险记,2
Mirai Shounen Conan (Japan),未来少年柯南,Mirai Shounen Conan (Japan) 未来少年柯南,2
Final Zone II (Japan),最终战区 2,Final Zone II (Japan) 最终战区 2,2
Pachio-kun 3 - Pachi-Slot & Pachinko (Japan),柏青哥君 3,Pachio-kun 3 - Pachi-Slot & Pachinko (Japan) 柏青哥君 3,2
YaWaRa! 2 - A Fashionable Judo Girl! (Japan),以柔克刚 2 - 时尚柔道女孩,YaWaRa! 2 - A Fashionable Judo Girl! (Japan) 以柔克刚 2 - 时尚柔道女孩,2
Laplace no Ma (Japan),拉普拉斯之魔,Laplace no Ma (Japan) 拉普拉斯之魔,2
Shin Megami Tensei (Japan) (Rev 1),真女神转生,Shin Megami Tensei (Japan) (Rev 1) 真女神转生,4
Dekoboko Densetsu - Hashiru Wagamanmaa (Japan),人偶传说 - 任性地奔跑,Dekoboko Densetsu - Hashiru Wagamanmaa (Japan) 人偶传说 - 任性地奔跑,2
Rally Championship (Japan) (FABT),拉力锦标赛,Rally Championship (Japan) (FABT) 拉力锦标赛,2
KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan),KO世纪野兽士 - 盖亚复活 完结篇,KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan) KO世纪野兽士 - 盖亚复活 完结篇,2
Private Eye dol (Japan),私家侦探,Private Eye dol (Japan) 私家侦探,2
Tecmo World Cup Super Soccer (Japan),Tecmo 超级世界杯,Tecmo World Cup Super Soccer (Japan) Tecmo 超级世界杯,2
Shinsetsu Shiawase Usagi 2 - Kairaku e no Invitation (Japan) (Unl),真说幸福兔 2 - 向快乐的邀请,Shinsetsu Shiawase Usagi 2 - Kairaku e no Invitation (Japan) (Unl) 真说幸福兔 2 - 向快乐的邀请,0
Startling Odyssey (Japan),惊心动魄的奥德赛,Startling Odyssey (Japan) 惊心动魄的奥德赛,2
Startling Odyssey II - Maryuu Sensou (Japan) (Demo),惊心动魄的奥德赛 2 - 魔龙战争,Startling Odyssey II - Maryuu Sensou (Japan) (Demo) 惊心动魄的奥德赛 2 - 魔龙战争,2
Kaze no Densetsu Xanadu (Japan) (Demo),风之传说,Kaze no Densetsu Xanadu (Japan) (Demo) 风之传说,2
Iga Ninden Gaiou (Japan),伊贺忍伝凯王,Iga Ninden Gaiou (Japan) 伊贺忍伝凯王,2
Metal Angel (Japan),合金天使,Metal Angel (Japan) 合金天使,2
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan),卡普空冒险问答,Adventure Quiz - Capcom World + Hatena no Daibouken (Japan) 卡普空冒险问答,2
Nemurenu Yoru no Chiisana Ohanashi (Japan),不眠之夜的小故事,Nemurenu Yoru no Chiisana Ohanashi (Japan) 不眠之夜的小故事,2
God Panic - Shijou Saikyou no Gundan (Japan),上帝的恐慌 - 史上最强军团,God Panic - Shijou Saikyou no Gundan (Japan) 上帝的恐慌 - 史上最强军团,2
Horror Story (Japan),恐怖故事,Horror Story (Japan) 恐怖故事,2
Loom (Japan),织布机,Loom (Japan) 织布机,2
Zan - Kagerou no Toki (Japan),斩 炎阳之时代,Zan - Kagerou no Toki (Japan) 斩 炎阳之时代,2
Mahjong Lemon Angel (Japan),麻将柠檬天使,Mahjong Lemon Angel (Japan) 麻将柠檬天使,2
Sexy Idol Mahjong - Fashion Monogatari (Japan),性感偶像麻将 - 时尚物语,Sexy Idol Mahjong - Fashion Monogatari (Japan) 性感偶像麻将 - 时尚物语,2
Sexy Idol Mahjong - Yakyuuken no Uta (Japan),性感偶像麻将 - 野球拳之诗,Sexy Idol Mahjong - Yakyuuken no Uta (Japan) 性感偶像麻将 - 野球拳之诗,2
Tokimeki Memorial (Japan) (Rev 3),心跳回忆,Tokimeki Memorial (Japan) (Rev 3) 心跳回忆,4
Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan),雀侦物语 2 - 宇宙侦探帝凡 完结篇,Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan) 雀侦物语 2 - 宇宙侦探帝凡 完结篇,2
Jantei Monogatari (Japan),雀侦物语,Jantei Monogatari (Japan) 雀侦物语,2
Jantei Monogatari 3 - Saver Angels (Japan),雀侦物语 3 - 拯救天使,Jantei Monogatari 3 - Saver Angels (Japan) 雀侦物语 3 - 拯救天使,2
Super Real Mahjong Special - Miki Kasumi Shouko no Omoide yori (Japan),超真实麻将 特别篇,Super Real Mahjong Special - Miki Kasumi Shouko no Omoide yori (Japan) 超真实麻将 特别篇,2
Super Real Mahjong PII-III Custom (Japan),超真实麻将 P2-3,Super Real Mahjong PII-III Custom (Japan) 超真实麻将 P2-3,2
Super Real Mahjong PIV Custom (Japan),超真实麻将 PIV,Super Real Mahjong PIV Custom (Japan) 超真实麻将 PIV,2
Super Real Mahjong P.V Custom (Japan),超真实麻将 P.V,Super Real Mahjong P.V Custom (Japan) 超真实麻将 P.V,2
Kiaidan 00 (Japan),机甲战士 00,Kiaidan 00 (Japan) 机甲战士 00,2
Tengai Makyou - Deden no Den (Japan),天外魔境 - 炸弹传说,Tengai Makyou - Deden no Den (Japan) 天外魔境 - 炸弹传说,2
Kuusou Kagaku Sekai Gulliver Boy (Japan),空想科学世界,Kuusou Kagaku Sekai Gulliver Boy (Japan) 空想科学世界,2
In Magical Adventure - Fray CD - Xak Gaiden (Japan),萨克外传,In Magical Adventure - Fray CD - Xak Gaiden (Japan) 萨克外传,2
Godzilla Bakutou Retsuden (Japan),哥斯拉爆斗列传,Godzilla Bakutou Retsuden (Japan) 哥斯拉爆斗列传,2
Fiend Hunter (Japan),邪鬼猎人,Fiend Hunter (Japan) 邪鬼猎人,2
Kisou Louga (Japan) (FABT),机装露加,Kisou Louga (Japan) (FABT) 机装露加,2
Kisou Louga II - The Ends of Shangrila (Japan),机装露加 2,Kisou Louga II - The Ends of Shangrila (Japan) 机装露加 2,2
Gulclight TDF 2 (Japan),地球防卫军 2,Gulclight TDF 2 (Japan) 地球防卫军 2,2
Nobunaga no Yabou - Zenkokuban (Japan),信长之野望 - 战国兵法书,Nobunaga no Yabou - Zenkokuban (Japan) 信长之野望 - 战国兵法书,2
Sangokushi - Eiketsu Tenka ni Nozomu (Japan),三国志 - 英杰传,Sangokushi - Eiketsu Tenka ni Nozomu (Japan) 三国志 - 英杰传,2
Yokoyama Mitsuteru Shin Sangokushi - Tenka wa Ware ni (Japan),横山光辉三国志 - 我的天下,Yokoyama Mitsuteru Shin Sangokushi - Tenka wa Ware ni (Japan) 横山光辉三国志 - 我的天下,2
3x3 Eyes - Sanjiyan Henjou (Japan),三只眼 - 三只眼变成,3x3 Eyes - Sanjiyan Henjou (Japan) 三只眼 - 三只眼变成,2
CD Mahjong - Bishoujo Chuushinha (Japan) (Unl),CD麻将 - 美少女中心派,CD Mahjong - Bishoujo Chuushinha (Japan) (Unl) CD麻将 - 美少女中心派,0
AV Tanjou (Japan) (Unl),AV诞生,AV Tanjou (Japan) (Unl) AV诞生,0
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan),宇宙幻想 4 - 银河少年传说 突入篇,Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan) 宇宙幻想 4 - 银河少年传说 突入篇,2
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan),宇宙幻想 4 - 银河少年传说 激斗篇,Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan) 宇宙幻想 4 - 银河少年传说 激斗篇,2
Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) (Demo),天外魔境 - 风云歌舞伎传,Far East of Eden - Tengai Makyou - Fuun Kabuki-den (Japan) (Demo) 天外魔境 - 风云歌舞伎传,2
Urusei Yatsura - Stay with You (Japan),福星小子 - 相伴与君,Urusei Yatsura - Stay with You (Japan) 福星小子 - 相伴与君,2
Hyper Wars (Japan) (SABS),世纪战争,Hyper Wars (Japan) (SABS) 世纪战争,2
Makai Eiyuuden - Shape Shifter (Japan),魔界英雄伝,Makai Eiyuuden - Shape Shifter (Japan) 魔界英雄伝,2
Martial Champion (Japan),武术冠军,Martial Champion (Japan) 武术冠军,2
Nobunaga no Yabou - Bushou Fuuunroku (Japan),信长之野望 - 武将风云录,Nobunaga no Yabou - Bushou Fuuunroku (Japan) 信长之野望 - 武将风云录,2
CD Pachi-Slot - Bishoujo Gambler (Japan) (Unl),CD柏青哥 - 美少女赌徒,CD Pachi-Slot - Bishoujo Gambler (Japan) (Unl) CD柏青哥 - 美少女赌徒,0
Shin Onryou Senki (Japan),真怨灵战记,Shin Onryou Senki (Japan) 真怨灵战记,2
Emerald Dragon (Japan) (Demo),翡翠龙,Emerald Dragon (Japan) (Demo) 翡翠龙,2
Duo Comic - Bakuretsu Hunter (Japan),暴走猎人,Duo Comic - Bakuretsu Hunter (Japan) 暴走猎人,2
Psychic Detective Series Vol. 4 - Orgel (Japan),通灵侦探系列第四卷 - 八音盒,Psychic Detective Series Vol. 4 - Orgel (Japan) 通灵侦探系列第四卷 - 八音盒,2
Wonder Boy III - Monster Lair (Japan) (Rev 3),神奇男孩 3 - 魔窟,Wonder Boy III - Monster Lair (Japan) (Rev 3) 神奇男孩 3 - 魔窟,4
Farjius no Jakoutei - Neo Metal Fantasy (Japan),法斯安斯的邪皇帝,Farjius no Jakoutei - Neo Metal Fantasy (Japan) 法斯安斯的邪皇帝,2
Farjius no Jakoutei - Neo Metal Fantasy (Japan) (Rev 1),法斯安斯的邪皇帝,Farjius no Jakoutei - Neo Metal Fantasy (Japan) (Rev 1) 法斯安斯的邪皇帝,4
Color Wars (Japan),色彩战争,Color Wars (Japan) 色彩战争,2
Bakuden - Unbalance Zone (Japan),爆传 - 不平衡地区,Bakuden - Unbalance Zone (Japan) 爆传 - 不平衡地区,2
Go! Go! Birdie Chance (Japan),Go! Go! 高尔夫,Go! Go! Birdie Chance (Japan) Go! Go! 高尔夫,2
Rayxanber III (Japan),重装雷克斯 3,Rayxanber III (Japan) 重装雷克斯 3,2
Nekketsu Legend - Baseballer (Japan),热血传说 - 棒球运动员,Nekketsu Legend - Baseballer (Japan) 热血传说 - 棒球运动员,2
Kawa no Nushitsuri - Shizen-ha (Japan),川钓高手 - 自然派,Kawa no Nushitsuri - Shizen-ha (Japan) 川钓高手 - 自然派,2
Yuu Yuu Hakusho - Yami Shoubu!! Ankoku Bujutsu-kai (Japan),幽游白书 - 暗黑武术会,Yuu Yuu Hakusho - Yami Shoubu!! Ankoku Bujutsu-kai (Japan) 幽游白书 - 暗黑武术会,2
Legion (Japan) (Rev 4),空中军团,Legion (Japan) (Rev 4) 空中军团,4
Brandish (Japan),魔女逗勇者,Brandish (Japan) 魔女逗勇者,2
Solid Force (Japan),固体力量,Solid Force (Japan) 固体力量,2
Last Armageddon (Japan) (Rev 5),女超人蕾拉,Last Armageddon (Japan) (Rev 5) 女超人蕾拉,4
Mahjong on the Beach (Japan),沙滩麻将,Mahjong on the Beach (Japan) 沙滩麻将,2
Formation Soccer 95 della Serie A (Japan),意甲足球 95,Formation Soccer 95 della Serie A (Japan) 意甲足球 95,2
Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 8),柏青哥君 - 幻的传说,Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 8) 柏青哥君 - 幻的传说,4
Metal Angel 2 (Japan),合金天使 2,Metal Angel 2 (Japan) 合金天使 2,2
Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan),漫画幻想视觉集,Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan) 漫画幻想视觉集,2
Tadaima Yuusha Boshuu-chuu (Japan),勇者募集中,Tadaima Yuusha Boshuu-chuu (Japan) 勇者募集中,2
Quiz Avenue III (Japan),智力竞赛大道 3,Quiz Avenue III (Japan) 智力竞赛大道 3,2
Yami no Ketsuzoku - Harukanaru Kioku (Japan),黑暗的血族 - 遥远的记忆,Yami no Ketsuzoku - Harukanaru Kioku (Japan) 黑暗的血族 - 遥远的记忆,2
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),元朝秘史 - 苍狼与白鹿,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan) 元朝秘史 - 苍狼与白鹿,2
Sword Master (Japan),剑圣,Sword Master (Japan) 剑圣,2
"Pro Yakyuu Super '94, The (Japan)",超级职业棒球 94,"Pro Yakyuu Super '94, The (Japan) 超级职业棒球 94",2
PC Engine Fan - Special CD-ROM^2 Vol. 1 (Japan),,PC Engine Fan - Special CD-ROM^2 Vol. 1 (Japan) ,1
PC Engine Hyper Catalog CD-ROM (Japan),,PC Engine Hyper Catalog CD-ROM (Japan) ,1
PC Engine Hyper Catalog CD-ROM 2 - 1993 Spring (Japan),,PC Engine Hyper Catalog CD-ROM 2 - 1993 Spring (Japan) ,1
PC Engine Hyper Catalog CD-ROM 3 - 1993 Summer (Japan),,PC Engine Hyper Catalog CD-ROM 3 - 1993 Summer (Japan) ,1
PC Engine Hyper Catalog CD-ROM 4 - 1993 Winter (Japan),,PC Engine Hyper Catalog CD-ROM 4 - 1993 Winter (Japan) ,1
PC Engine Hyper Catalog CD-ROM 5 - 1994 Spring (Japan),,PC Engine Hyper Catalog CD-ROM 5 - 1994 Spring (Japan) ,1
PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc A),,PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc A) ,1
PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc B),,PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc B) ,1
Space Invaders - The Original Game (Japan),太空侵略者,Space Invaders - The Original Game (Japan) 太空侵略者,2
Mamono Hunter Youko - Makai kara no Tenkousei (Japan),魔物猎人妖子 - 来自魔界的转校生,Mamono Hunter Youko - Makai kara no Tenkousei (Japan) 魔物猎人妖子 - 来自魔界的转校生,2
Mamono Hunter Youko - Tooki Yobigoe (Japan),魔物猎人妖子 - 遥远的呼声,Mamono Hunter Youko - Tooki Yobigoe (Japan) 魔物猎人妖子 - 遥远的呼声,2
Eiyuu Sangokushi (Japan),英雄三国志,Eiyuu Sangokushi (Japan) 英雄三国志,2
Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen - Zenjo vs. JWP (Japan),搏斗宇宙 憧梦超女大战 - 全女vsJWP,Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen - Zenjo vs. JWP (Japan) 搏斗宇宙 憧梦超女大战 - 全女vsJWP,2
Ultra Box Soukan-gou (Japan),究极盒子创刊号,Ultra Box Soukan-gou (Japan) 究极盒子创刊号,2
Ultra Box 2-gou (Japan),究极盒子2号,Ultra Box 2-gou (Japan) 究极盒子2号,2
Ultra Box 5-gou (Japan),究极盒子5号,Ultra Box 5-gou (Japan) 究极盒子5号,2
ROM^2 Karaoke Volume 1 (Japan) (Alt),ROM²卡拉OK 1,ROM^2 Karaoke Volume 1 (Japan) (Alt) ROM²卡拉OK 1,1
ROM^2 Karaoke Volume 2 (Japan),ROM²卡拉OK 2,ROM^2 Karaoke Volume 2 (Japan) ROM²卡拉OK 2,1
ROM^2 Karaoke Volume 3 (Japan),ROM²卡拉OK 3,ROM^2 Karaoke Volume 3 (Japan) ROM²卡拉OK 3,1
Alshark (Japan),星际怒涛,Alshark (Japan) 星际怒涛,2
Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan),热血进行曲,Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan) 热血进行曲,2
GS (Ghost Sweeper) Mikami (Japan),GS美神,GS (Ghost Sweeper) Mikami (Japan) GS美神,2
Sol Moonarge (Japan),日月神契,Sol Moonarge (Japan) 日月神契,2
Valis II (Japan) (Alt 1),梦幻战士 2,Valis II (Japan) (Alt 1) 梦幻战士 2,2
Faussete Amour (Japan),虚假的爱,Faussete Amour (Japan) 虚假的爱,2
Summer Carnival '93 - NEXZR Special (Japan),夏夜狂欢 93,Summer Carnival '93 - NEXZR Special (Japan) 夏夜狂欢 93,2
Police Connection (Japan),警察关系,Police Connection (Japan) 警察关系,2
ROM^2 Karaoke Vol. 1 - Suteki ni Standard (Japan),ROM²卡拉OK 1 - 绝妙的标准,ROM^2 Karaoke Vol. 1 - Suteki ni Standard (Japan) ROM²卡拉OK 1 - 绝妙的标准,1
ROM^2 Karaoke Vol. 2 - Nattoku Idol (Japan),ROM²卡拉OK 2 - 偶像团体,ROM^2 Karaoke Vol. 2 - Nattoku Idol (Japan) ROM²卡拉OK 2 - 偶像团体,1
ROM^2 Karaoke Vol. 3 - Yappashi Band (Japan),ROM²卡拉OK 3 - 干练乐队,ROM^2 Karaoke Vol. 3 - Yappashi Band (Japan) ROM²卡拉OK 3 - 干练乐队,1
ROM^2 Karaoke Vol. 4 - Choito Otona! (Japan),ROM²卡拉OK 4 - 稍微成熟一点!,ROM^2 Karaoke Vol. 4 - Choito Otona! (Japan) ROM²卡拉OK 4 - 稍微成熟一点!,1
ROM^2 Karaoke Vol. 5 - Karaoke Maku no Uchi (Japan),ROM²卡拉OK 5 - 卡拉OK的幕内,ROM^2 Karaoke Vol. 5 - Karaoke Maku no Uchi (Japan) ROM²卡拉OK 5 - 卡拉OK的幕内,1
Tokimeki Memorial (Japan) (Rev 1),心跳回忆,Tokimeki Memorial (Japan) (Rev 1) 心跳回忆,4
Hawk F-123 (Japan),鹰 F123,Hawk F-123 (Japan) 鹰 F123,2
"Ryuuko no Ken (Japan) (En,Ja,Es) (FACT)",龙虎之拳,"Ryuuko no Ken (Japan) (En,Ja,Es) (FACT) 龙虎之拳",3
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 1),宇宙幻想 - 冒险少年尤,Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 1) 宇宙幻想 - 冒险少年尤,2
Ys I & II (Japan) (Alt),伊苏 1 + 2,Ys I & II (Japan) (Alt) 伊苏 1 + 2,2
Bomberman '94 (Japan) (Demo),炸弹人 '94,Bomberman '94 (Japan) (Demo) 炸弹人 '94,2
Ruin - Kami no Isan (Japan),毁灭 - 神的遗产,Ruin - Kami no Isan (Japan) 毁灭 - 神的遗产,2
CD Hanafuda - Bishoujo Fan Club (Japan) (Unl),CD花札 - 美少女粉丝俱乐部,CD Hanafuda - Bishoujo Fan Club (Japan) (Unl) CD花札 - 美少女粉丝俱乐部,0
AV Tanjou (Japan) (Unl) (Alt 1),AV诞生,AV Tanjou (Japan) (Unl) (Alt 1) AV诞生,0
Pyramid Plunder (USA) (Unl),金字塔掠夺,Pyramid Plunder (USA) (Unl) 金字塔掠夺,0
"Mysterious Song (USA) (En,Fr,Es) (Unl)",神秘的歌曲,"Mysterious Song (USA) (En,Fr,Es) (Unl) 神秘的歌曲",0
"Revival Chase (USA) (En,Fr) (Unl)",复兴追逐,"Revival Chase (USA) (En,Fr) (Unl) 复兴追逐",0
AV Tanjou (Japan) (Unl) (Alt 2),AV诞生,AV Tanjou (Japan) (Unl) (Alt 2) AV诞生,0
Develo Magazine Vol. 1 (Japan),Develo 杂志 vol.1,Develo Magazine Vol. 1 (Japan) Develo 杂志 vol.1,2
Todd's Adventures in Slime World (Japan),粘土世界,Todd's Adventures in Slime World (Japan) 粘土世界,2
Wrestle Angels - Double Impact (Japan),摔角天使 - 双重冲击,Wrestle Angels - Double Impact (Japan) 摔角天使 - 双重冲击,2
Pop'n Magic (Japan),流行魔法,Pop'n Magic (Japan) 流行魔法,2
Splash Lake (USA),飞溅湖,Splash Lake (USA) 飞溅湖,2
Star Mobile (Japan),移动星星,Star Mobile (Japan) 移动星星,2
Jim Power in Mutant Planet (Japan),吉姆力量在异变星球,Jim Power in Mutant Planet (Japan) 吉姆力量在异变星球,2
Flash Hiders (Japan),闪光的躲避者,Flash Hiders (Japan) 闪光的躲避者,2
Motoroader MC (Japan),越野摩托 MC,Motoroader MC (Japan) 越野摩托 MC,2
Mahjong Clinic Special (Japan),麻将特别诊疗所,Mahjong Clinic Special (Japan) 麻将特别诊疗所,2
Gensou Tairiku Auleria (Japan),幻苍大陆,Gensou Tairiku Auleria (Japan) 幻苍大陆,2
Basted (Japan),魔幻密宝,Basted (Japan) 魔幻密宝,2
Doukyuusei (Japan) (Rev 4),同级生,Doukyuusei (Japan) (Rev 4) 同级生,4
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT),银河大小姐传说 2 - 永恒的守护公主,Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FAAT) 银河大小姐传说 2 - 永恒的守护公主,3
Fighting Street (Japan) (Rev 4),快打旋风,Fighting Street (Japan) (Rev 4) 快打旋风,4
Chiki Chiki Boys (Japan),双麒儿,Chiki Chiki Boys (Japan) 双麒儿,2
Wonder Boy III - Monster Lair (Japan) (Rev 4),神奇男孩 3 - 魔窟,Wonder Boy III - Monster Lair (Japan) (Rev 4) 神奇男孩 3 - 魔窟,4
"Ryuuko no Ken (Japan) (En,Ja,Es) (Demo)",龙虎之拳,"Ryuuko no Ken (Japan) (En,Ja,Es) (Demo) 龙虎之拳",3
Sylphia (Japan),希尔菲娅,Sylphia (Japan) 希尔菲娅,2
