number,title,rating,nbr_votes,description,season,clean_text,cluster
12,The Crimson Horror,7.4,3800,The Doctor and Clara arrive in 19th century Yorkshire where moral crusader Mrs Gillyflower is recruiting beautiful people for her idyllic garden city. At the same time rigid corpses dyed red are piling up and the brother of one of the victims seeks help from Madame Vastra. She and her party travel to Yorkshire where they rescue Doctor Who and Clara from the clutches of Mrs Gillyflower. They discover that the woman is a fanatical exponent of ethnic cleansing who plans to do away with those who do not meet her standards - even her daughter Ada. The Doctor and his allies...,7,doctor clara arrive th century yorkshire moral crusader mr gillyflower recruiting beautiful people idyllic garden city time rigid corps dyed red piling brother one victim seek help madame vastra party travel yorkshire rescue doctor clara clutch mr gillyflower discover woman fanatical exponent ethnic cleansing plan away meet standard even daughter ada doctor ally,3
13,Nightmare in Silver,7.4,3811,"Hedgewick's World of Wonders was once the greatest theme park in the galaxy, but it's now the dilapidated home to a shabby showman, a chess playing dwarf and a dysfunctional army platoon. When the Doctor, Clara, Artie and Angie arrive, the last thing they expect is the re-emergence of one of the Doctor's oldest foes. The Cybermen are back!",7,hedgewick world wonder greatest theme park galaxy dilapidated home shabby showman chess playing dwarf dysfunctional army platoon doctor clara artie angie arrive last thing expect emergence one doctor oldest foe cybermen back,1
14,The Name of the Doctor,9.1,6126,"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved.",7,doctor friend kidnapped lead field trenzalore greatest secret revealed clara mystery solved,1
1,Deep Breath,8.0,6505,"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.",8,newly regenerated doctor arrives victorian london find dinosaur rampant thames spate deadly spontaneous combustion,0
2,Into the Dalek,7.8,4995,The Doctor and Clara find themselves inside of a supposedly good Dalek.,8,doctor clara find inside supposedly good dalek,2
3,Robot of Sherwood,7.1,5127,"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake.",8,sherwood forest doctor uncovers sinister alien plot form alliance robin hood nottingham stake doctor must decide real fake,1
4,Listen,8.9,6451,"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe.",8,ghost past future crowd life doctor clara thrown adventure take end universe,1
5,Time Heist,8.0,4573,The Doctor and Clara must break into the most secure bank in the universe.,8,doctor clara must break secure bank universe,1
6,The Caretaker,7.4,4001,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.",8,terrifying skovox blitzer ready destroy humanity worse second danny pink doctor going meet,1
7,Kill the Moon,7.0,4651,"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things.",8,near future doctor clara find space shuttle making suicide mission moon crash landing lunar surface find terrible thing,2
8,Mummy on the Orient Express,8.5,4470,"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers.",8,beautiful train history speeding amongst star future deadly immortal creature stalking passenger,3
9,Flatline,8.5,4280,"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy.",8,problem happens tardis trapping doctor inside leaving clara fend two dimensional enemy,1
10,In the Forest of the Night,6.1,4181,"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth.",8,one morning london every city town world human race wake surprising invasion yet tree moved back everywhere every land forest grown taken back earth,0
11,Dark Water,8.7,4562,"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him.",8,mysterious world nethersphere plan drawn old friend old enemy manoeuvre around doctor impossible choice looming,1
12,Death in Heaven,7.9,4340,"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.",8,cybermen street london old friend unite old enemy doctor take air startling new role doctor face greatest challenge sacrifice must made day,1
0,Last Christmas,8.3,4243,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!",9,doctor clara face last christmas trapped arctic base attack terrifying creature going call santa claus,3
1,The Magician's Apprentice,8.5,4716,"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?",9,sky earth frozen mysterious alien force clara need friend doctor hiding,4
2,The Witch's Familiar,8.5,4109,"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?",9,trapped alone terrifying dalek city doctor heart evil empire sonic tardis nobody help greatest temptation doctor resist mercy,0
3,Under the Lake,8.3,3931,"Under a lake a gleaming black spaceship is recovered but there is nothing inside. When the base crew start dying, they discover that ghosts are real. The Doctor and Clara arrive to find the base under siege and the Doctor discovers that this is more than a ghost story.",9,lake gleaming black spaceship recovered nothing inside base crew start dying discover ghost real doctor clara arrive find base siege doctor discovers ghost story,2
4,Before the Flood,8.1,3651,"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th.",9,town never doctor friend stalked mysterious figure past future balance doctor stop evil fisher king importantly composed beethoven th,1
5,The Girl Who Died,7.7,3733,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.",9,viking village girl named ashildr make desperate mistake mire deadliest mercenary galaxy famed showing mercy ashildr declared war doctor clara hour turn peaceful village strong fighter ready deadly mire,4
6,The Woman Who Lived,7.6,3610,"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?",9,england deadly highwayman known knightmare plague dark street london fire breathing accomplice side something clearly human includes loot much outlaw creature enemy fought friend might possibly save doctor certain doom gallows,1
7,The Zygon Invasion,7.9,3454,"The fragile peace between the Humans and the Zygons is on a knife edge. Tensions run high as factions within the Zygon community seek to incite violent action against Humans. Called in by UNIT, the Doctor and Clara fight to bring the situation under control. But one question remains: Where on Earth is Osgood?",9,fragile peace human zygons knife edge tension run high faction within zygon community seek incite violent action human called unit doctor clara fight bring situation control one question remains earth osgood,1
8,The Zygon Inversion,8.6,3775,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?",9,zygons invading england unit neutralized doctor stand alone stop zygons taking entire planet stop zygons save friend,0
9,Sleep No More,6.0,3866,"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered.",9,vision recovered wreckage le verrier space station show doctor clara became entangled rescue mission footage play horrifying secret uncovered,3
10,Face the Raven,8.6,4224,"The Doctor and Clara are called back to earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!",9,doctor clara called back earth rigsy discovers strange tattoo back neck appears counting zero investigation lead hidden street middle london discovery rigsy issued death sentence one facing choice make ultimate sacrifice face raven,1
11,Heaven Sent,9.6,8256,"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone...",9,trapped world unlike seen doctor face greatest challenge many life one final test must face alone,1
12,Hell Bent,8.7,4808,"If you took everything from him, betrayed him, trapped him, and broke both his hearts... how far might the Doctor go? Returning to Gallifrey, the Doctor faces the Time Lords in a struggle that will take him to the end of time itself. Who is the Hybrid? And what is the Doctor's confession?",9,took everything betrayed trapped broke heart far might doctor go returning gallifrey doctor face time lord struggle take end time hybrid doctor confession,1
13,The Husbands of River Song,8.6,3948,"When a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Song's squad and hurled into a chase across the galaxy.",9,crashed spaceship call upon doctor help find recruited river song squad hurled chase across galaxy,0
0,The Return of Doctor Mysterio,7.5,3819,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?",10,new york brain swapping alien poised attack doctor nardole link investigative reporter mysterious masked superhero known ghost doctor save manhattan revealed see behind mask,0
1,The Pilot,7.9,3778,The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.,10,doctor nardole team university student take sinister life mimicking alien,3
2,Smile,7.2,3104,"In the far future, at the edge of the galaxy, there is a gleaming, perfect city. This brand new human settlement is said to hold the secret of human happiness - but the only smiles the Doctor and Bill can find are on a pile of grinning skulls. Something is alive in the walls, and the emojibots are watching from the shadows, as the Doctor and Bill try to unravel a terrifying mystery...",10,far future edge galaxy gleaming perfect city brand new human settlement said hold secret human happiness smile doctor bill find pile grinning skull something alive wall emojibots watching shadow doctor bill try unravel terrifying mystery,3
3,Thin Ice,7.3,2965,The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.,10,doctor bill visit london last river thames frost fair february soon discover something ice causing people disappear,3
4,Knock Knock,7.5,2932,"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.",10,bill moving friend found perfect house rented landlord wind blow floorboard creak doctor think something wrong,3
5,Oxygen,8.1,3022,"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.",10,doctor bill nardole become trapped space station without oxygen discover spacesuit trying kill,3
6,Extremis,8.5,3112,"The Haereticum holds an ancient book known only as The Veritas. Throughout history, anyone who has ever read it has immediately taken their own life. When a new translation is online, spreading danger, the Vatican appeals to the Doctor for help. Will he read The Veritas? But can even the Doctor survive the ultimate truth?",10,haereticum hold ancient book known veritas throughout history anyone ever read immediately taken life new translation online spreading danger vatican appeal doctor help read veritas even doctor survive ultimate truth,0
7,The Pyramid at the End of the World,7.7,2650,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.",10,year old pyramid appears overnight baffling everyone including doctor,1
8,The Lie of the Land,7.2,2560,"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.",10,earth invaded bill living alone occupied britain doctor appears side enemy flooding airwave fake news bill nardole embark deadly mission rescue doctor lead resistance new regime whatever cost,3
9,Empress of Mars,7.1,2520,"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.",10,doctor bill nardole discover tomb queen ice warrior mar,3
10,The Eaters of Light,7.0,2494,"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.",10,long time ago roman legion ninth vanished mist scotland bill theory happened doctor time machine arrive ancient aberdeenshire find far greater threat army cairn hillside doorway leading end world,4
11,World Enough and Time,9.2,3564,"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?",10,trapped giant spaceship caught event horizon black hole witness death someone pledged protect event already control,3
12,The Doctor Falls,9.0,3584,The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.,10,doctor make final stand army cybermen protect tiny band human destruction,1
0,Twice Upon a Time,8.1,4785,"The Twelfth Doctor, still refusing to change, goes on a last adventure with the First Doctor.",11,twelfth doctor still refusing change go last adventure first doctor,1
1,The Woman Who Fell to Earth,7.1,8066,"In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O'Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky.",11,south yorkshire city ryan sinclair yasmin khan graham brien life changed forever mysterious woman unable remember name fall night sky,4
2,The Ghost Monument,6.2,5928,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment, to solve the mystery of Desolation? And just who are Angstrom and Epzo?",11,still reeling first encounter doctor new friend stay alive long enough hostile alien environment solve mystery desolation angstrom epzo,1
3,Rosa,7.1,7041,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history.",11,montgomery alabama doctor friend find deep south america encounter seamstress name rosa park begin wonder whether someone attempting change history,1
4,Arachnids in the UK,5.3,5112,"The Doctor, Yaz, Graham, and Ryan find their way back to Yorkshire only to find something is stirring amidst the eight-legged arachnid population of Sheffield.",11,doctor yaz graham ryan find way back yorkshire find something stirring amidst eight legged arachnid population sheffield,4
5,The Tsuranga Conundrum,5.2,4684,"Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham, and Ryan must band together with a group of strangers to survive against one of the universe's most deadly - and unusual - creatures.",11,injured stranded wild far flung galaxy doctor yaz graham ryan must band together group stranger survive one universe deadly unusual creature,4
6,Demons of the Punjab,6.6,4661,"Yasmin travels in time to visit her grandmother during her youth in the partition of India, but everyone gets caught up in the tragic bloodshed of that era.",11,yasmin travel time visit grandmother youth partition india everyone get caught tragic bloodshed era,3
7,Kerblam!,6.4,3954,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy's largest retailer.",11,mysterious message arrives package addressed doctor leading graham yaz ryan investigate warehouse moon orbiting kandoka home galaxy largest retailer,4
8,The Witchfinders,5.9,3635,"Arriving in 17th Century Lancashire, the TARDIS team become embroiled in a witch trial. With the arrival of King James I, the hunt for witches intensifies. However, could something more dangerous be at play? Can the Doctor, Graham, Yaz and Ryan keep the populace of Bilehurst Cragg safe from the forces surrounding the land?",11,arriving th century lancashire tardis team become embroiled witch trial arrival king james hunt witch intensifies however could something dangerous play doctor graham yaz ryan keep populace bilehurst cragg safe force surrounding land,4
9,It Takes You Away,6.4,3404,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage - and beyond?",11,edge norwegian fjord present day doctor ryan graham yaz discover boarded cottage girl named hanne need help happened monster lurks wood around cottage beyond,4
10,The Battle of Ranskoor Av Kolos,5.5,2949,"Answering nine separate distress calls, the Doctor and team arrive on the remnants of a brutal battlefield on the planet Ranskoor Av Kolos. This planet has many secrets. An amnesiac commander? Mysterious mists? Who or what are the Ux? A deadly reckoning awaits the Doctor and team once they have the answers....",11,answering nine separate distress call doctor team arrive remnant brutal battlefield planet ranskoor av kolos planet many secret amnesiac commander mysterious mist ux deadly reckoning awaits doctor team answer,4
11,Resolution,6.0,2690,"As the New Year begins, a terrifying evil is stirring from across the centuries of Earth's history. As the Doctor, Ryan, Graham and Yaz return home, will they be able to overcome the threat to planet Earth?",11,new year begin terrifying evil stirring across century earth history doctor ryan graham yaz return home able overcome threat planet earth,4
